time_positive;time_negative;time_total;max_V_match_fraction
6598306.84;6631124.03;6628716.9;0.0
45512388.46;45140194.68;51512365.78;0.1
65394673.69;64197234.03;75038626.59;0.2
77601349.99;76068020.7;87329016.41;0.3
84365487.35;83965514.07;97460345.04;0.4
83820518.77;85960620.72;98007495.06;0.5
80349317.13;83115883.24;94971844.9;0.6
72391779.92;77035690.88;86124548.43;0.7
61014075.31;64711809.33;72216955.55;0.8
42893607.61;44510986.04;50427745.14;0.9
6512755.12;6440674.57;6477945.1;1.0
