Baseline;RecordEnumeration;Snake;len_T
42061473.86;271349113.86;70545826.36;5000
51219326.66;326823129.72;82763469.54;6000
56574722.12;382069575.9;95913795.28;7000
63422469.62;438333186.82;110484537.84;8000
69257946.66;490502660.48;119786487.36;9000
73135748.78;556171156.48;131377214.92;10000
88956373.36;639927924.02;159323018.26;11000
96278200.16;708752141.84;178428876.08;12000
100824811.22;765425556.58;188165812.04;13000
107683874.06;817479030.16;200026954.74;14000
112211065.36;881839956.62;214273585.06;15000
