Baseline;RecordEnumeration;Snake;len_T
41491125.32;271077671.86;69656241.26;5000
49346989.94;326473599.52;81664585.36;6000
55847600.66;382677481.38;95885427.9;7000
62438697.58;433543030.56;108968060.14;8000
70699041.12;491232131.82;117305337.18;9000
81092875.76;584838157.9;144210709.24;10000
84981549.02;646008780.28;152930356.16;11000
93538150.88;694481867.28;173079161.62;12000
101042728.18;756182935.38;184495641.68;13000
104755035.08;815347938.86;197560353.9;14000
111417335.82;866579890.88;207033287.82;15000
