Baseline;RecordEnumeration;Snake;len_T
39872930.32;270255464.96;67555567.32;5000
47650636.12;324317738.84;78985856.12;6000
53013452.2;379260975.08;91978822.32;7000
60492742.08;435191713.34;102977814.26;8000
65396376.34;484365460.54;111906032.46;9000
66747920.02;541006936.2;122059994.66;10000
83651687.06;635893948.9;161106769.28;11000
90676059;698253798.62;171091189.94;12000
94543207.34;757862178.78;180042889.34;13000
99723822.12;800546291.2;188445582.3;14000
106362797.9;854177445.3;199983726.64;15000
