Baseline;RecordEnumeration;Snake;len_T
40521802.52;268883302.8;67037972.7;5000
49168911.08;323897700.8;79260025.94;6000
54893030.88;381438655.48;93900765.86;7000
60637295.04;432785495.66;103953560.92;8000
68445035.74;486222320.16;113512314.34;9000
77408994.14;570316071.62;139740632.42;10000
83303851;630345520.86;145873681.08;11000
90295548.64;692555721.84;162232620.34;12000
95287646.14;743451072.92;178037914.54;13000
101267806.1;798879230.52;191019286.44;14000
105459194.78;854175011.24;203977131.8;15000
