PSU;len_T
211382221.24;500000
238164483.28;600000
265094825.22;700000
285624190.16;800000
304549322.12;900000
328025084.18;1000000
339493311.38;1100000
352369507.62;1200000
361857595.68;1300000
378277832.2;1400000
337417577.68;1500000
