pos0.0_total;neg0.0_total;tot0.0_total;pos0.0_positive;neg0.0_positive;tot0.0_positive;pos0.0_negative;neg0.0_negative;tot0.0_negative;pos0.1_total;neg0.1_total;tot0.1_total;pos0.1_positive;neg0.1_positive;tot0.1_positive;pos0.1_negative;neg0.1_negative;tot0.1_negative;pos0.2_total;neg0.2_total;tot0.2_total;pos0.2_positive;neg0.2_positive;tot0.2_positive;pos0.2_negative;neg0.2_negative;tot0.2_negative;pos0.3_total;neg0.3_total;tot0.3_total;pos0.3_positive;neg0.3_positive;tot0.3_positive;pos0.3_negative;neg0.3_negative;tot0.3_negative;pos0.4_total;neg0.4_total;tot0.4_total;pos0.4_positive;neg0.4_positive;tot0.4_positive;pos0.4_negative;neg0.4_negative;tot0.4_negative;pos0.5_total;neg0.5_total;tot0.5_total;pos0.5_positive;neg0.5_positive;tot0.5_positive;pos0.5_negative;neg0.5_negative;tot0.5_negative;pos0.6_total;neg0.6_total;tot0.6_total;pos0.6_positive;neg0.6_positive;tot0.6_positive;pos0.6_negative;neg0.6_negative;tot0.6_negative;pos0.7_total;neg0.7_total;tot0.7_total;pos0.7_positive;neg0.7_positive;tot0.7_positive;pos0.7_negative;neg0.7_negative;tot0.7_negative;pos0.8_total;neg0.8_total;tot0.8_total;pos0.8_positive;neg0.8_positive;tot0.8_positive;pos0.8_negative;neg0.8_negative;tot0.8_negative;pos0.9_total;neg0.9_total;tot0.9_total;pos0.9_positive;neg0.9_positive;tot0.9_positive;pos0.9_negative;neg0.9_negative;tot0.9_negative;pos1.0_total;neg1.0_total;tot1.0_total;pos1.0_positive;neg1.0_positive;tot1.0_positive;pos1.0_negative;neg1.0_negative;tot1.0_negative;query_budget
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.1064;0.18365714285714285;0.174;0.1552;0.26613333333333333;0.25226666666666664;0.21653333333333333;0.19333333333333333;0.19623333333333334;0.08519685039370078;0.1254968287526427;0.11696666666666666;0.11228346456692913;0.18405919661733616;0.16886666666666666;0.15858267716535432;0.14076109936575054;0.14453333333333335;0.06905263157894737;0.09409756097560976;0.08616666666666667;0.09536842105263157;0.13663414634146342;0.12356666666666667;0.12989473684210526;0.11126829268292683;0.11716666666666667;0.05836734693877551;0.08095774647887324;0.07173333333333333;0.09542857142857143;0.12354929577464789;0.11206666666666666;0.1253877551020408;0.10061971830985915;0.11073333333333334;0.06361842105263157;0.06283783783783783;0.06323333333333334;0.09328947368421053;0.11797297297297298;0.10546666666666667;0.11934210526315789;0.0922972972972973;0.106;0.08225201072386058;0.06440528634361234;0.0755;0.10466487935656836;0.12361233480176212;0.11183333333333334;0.12890080428954423;0.093215859030837;0.1154;0.09985849056603774;0.07659090909090908;0.09303333333333333;0.11533018867924529;0.1378409090909091;0.12193333333333334;0.14481132075471698;0.1009090909090909;0.13193333333333335;0.14121703853955375;0.09252336448598131;0.13253333333333334;0.15038539553752536;0.1725233644859813;0.15433333333333332;0.19740365111561867;0.12392523364485981;0.1843;0.23204379562043795;0.13923076923076924;0.224;0.24565693430656935;0.2684615384615385;0.24763333333333334;0.34492700729927006;0.19615384615384615;0.33203333333333335;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;60
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.23066666666666666;0.3773714285714286;0.3590333333333333;0.3448;0.521104761904762;0.49906666666666666;0.4690666666666667;0.4113904761904762;0.4186;0.20519685039370078;0.2624947145877378;0.2503666666666667;0.258740157480315;0.38109936575052855;0.3552;0.35811023622047244;0.2966596194503171;0.30966666666666665;0.1696842105263158;0.20239024390243904;0.19203333333333333;0.20705263157894738;0.31053658536585366;0.27776666666666666;0.3002105263157895;0.23629268292682926;0.25653333333333334;0.14408163265306123;0.16980281690140844;0.1593;0.19755102040816327;0.28135211267605637;0.24713333333333334;0.27755102040816326;0.22225352112676056;0.24483333333333332;0.14789473684210527;0.1420945945945946;0.14503333333333332;0.20282894736842105;0.27297297297297296;0.23743333333333333;0.26598684210526313;0.20087837837837838;0.23386666666666667;0.17882037533512066;0.15911894273127752;0.17136666666666667;0.22723860589812334;0.29083700440528637;0.2513;0.28890080428954423;0.20158590308370045;0.2558666666666667;0.20971698113207546;0.17420454545454545;0.1993;0.2459433962264151;0.30522727272727274;0.2633333333333333;0.3128301886792453;0.21704545454545454;0.28473333333333334;0.296105476673428;0.21065420560747664;0.28086666666666665;0.33281947261663286;0.391214953271028;0.34323333333333333;0.4124137931034483;0.27233644859813083;0.38743333333333335;0.5184671532846715;0.2703846153846154;0.49696666666666667;0.5317153284671533;0.5869230769230769;0.5365;0.66507299270073;0.44;0.6455666666666666;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;120
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.3522666666666667;0.5946285714285714;0.5643333333333334;0.5538666666666666;0.7786666666666666;0.7505666666666667;0.7181333333333333;0.6496380952380952;0.6582;0.3014173228346457;0.4167019027484144;0.3923;0.4004724409448819;0.5631289640591967;0.5287;0.5244094488188976;0.46608879492600425;0.4784333333333333;0.25852631578947366;0.314;0.2964333333333333;0.33473684210526317;0.45951219512195124;0.42;0.4451578947368421;0.38341463414634147;0.40296666666666664;0.22171428571428572;0.2706478873239437;0.25066666666666665;0.31616326530612243;0.41864788732394365;0.3768;0.42620408163265305;0.3472112676056338;0.3794666666666667;0.22960526315789473;0.2293243243243243;0.22946666666666668;0.3330921052631579;0.41445945945945944;0.3732333333333333;0.4170394736842105;0.32925675675675675;0.3737333333333333;0.27463806970509386;0.2320704845814978;0.25853333333333334;0.35142091152815014;0.42590308370044055;0.3796;0.4282037533512064;0.3143612334801762;0.3851333333333333;0.3305660377358491;0.2614772727272727;0.3103;0.39462264150943394;0.4677272727272727;0.41606666666666664;0.46764150943396227;0.3306818181818182;0.42746666666666666;0.46206896551724136;0.30018691588785046;0.4332;0.5073833671399595;0.5725233644859813;0.519;0.6245841784989858;0.4295327102803738;0.5898;0.8361678832116788;0.4326923076923077;0.8012;0.8467153284671532;0.8907692307692308;0.8505333333333334;0.9346715328467153;0.7757692307692308;0.9209;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;180
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.5109333333333334;0.8769523809523809;0.8312;0.8648;0.9670857142857143;0.9543;0.9573333333333334;0.9398857142857143;0.9420666666666667;0.38740157480314963;0.5756025369978859;0.5357666666666666;0.5606299212598426;0.7527272727272727;0.7120666666666666;0.7203149606299213;0.6380972515856237;0.6555;0.35547368421052633;0.4251219512195122;0.4030666666666667;0.45494736842105266;0.6177073170731707;0.5661666666666667;0.6078947368421053;0.5108780487804878;0.5416;0.3159183673469388;0.3707605633802817;0.34836666666666666;0.4293061224489796;0.5590985915492958;0.5061;0.5678367346938775;0.46901408450704224;0.5093666666666666;0.3350657894736842;0.3179054054054054;0.3266;0.45585526315789476;0.5542567567567568;0.5044;0.5481578947368421;0.44391891891891894;0.49673333333333336;0.3813941018766756;0.321409691629956;0.3587;0.4757640750670241;0.5713656387665198;0.5119333333333334;0.5737265415549598;0.43171806167400884;0.52;0.43985849056603776;0.35920454545454544;0.4162;0.5264150943396226;0.61625;0.5527666666666666;0.6484905660377358;0.47238636363636366;0.5968333333333333;0.6387829614604462;0.40841121495327104;0.5977;0.7001217038539553;0.7814953271028038;0.7146333333333333;0.8234077079107505;0.6330841121495328;0.7894666666666666;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;240
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.47496062992125987;0.7385200845665962;0.6827333333333333;0.7733858267716536;0.9216067653276956;0.8902333333333333;0.8993700787401575;0.8416067653276955;0.8538333333333333;0.4358947368421053;0.5542439024390244;0.5167666666666667;0.6046315789473684;0.7714634146341464;0.7186333333333333;0.7554736842105263;0.6526829268292683;0.6852333333333334;0.4035918367346939;0.4754929577464789;0.4461333333333333;0.5539591836734694;0.7010704225352112;0.641;0.7036734693877551;0.6011830985915493;0.6430333333333333;0.422828947368421;0.4277027027027027;0.42523333333333335;0.5806578947368422;0.7004054054054054;0.6397333333333334;0.6975657894736842;0.5839189189189189;0.6415;0.4935656836461126;0.4249339207048458;0.4676;0.6167292225201072;0.7264317180616741;0.6582333333333333;0.72171581769437;0.5702202643171806;0.6644;0.5768867924528301;0.44477272727272726;0.5381333333333334;0.6850471698113207;0.7804545454545454;0.7130333333333333;0.7956603773584906;0.6244318181818181;0.7454333333333333;0.8881947261663286;0.605981308411215;0.8378666666666666;0.946369168356998;0.9669158878504673;0.9500333333333333;0.9806490872210953;0.9265420560747664;0.971;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;300
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5284210526315789;0.6923414634146341;0.6404333333333333;0.7971578947368421;0.9136585365853659;0.8767666666666667;0.9041052631578947;0.8340975609756097;0.8562666666666666;0.5135510204081633;0.5974084507042253;0.5631666666666667;0.728326530612245;0.847605633802817;0.7989;0.8456326530612245;0.7512112676056338;0.7897666666666666;0.5497368421052632;0.5432432432432432;0.5465333333333333;0.7364473684210526;0.8416216216216216;0.7883333333333333;0.8364473684210526;0.7281756756756756;0.7830333333333334;0.6271313672922252;0.5282819383259912;0.5897333333333333;0.7760321715817694;0.8659030837004406;0.8100333333333334;0.8697050938337801;0.7496916299559472;0.8243;0.7460377358490566;0.5522727272727272;0.6892;0.8720283018867925;0.9264772727272728;0.888;0.9369339622641509;0.8393181818181819;0.9083;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;360
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9828421052631579;0.9911219512195122;0.9885;0.9985263157894737;0.9995121951219512;0.9992;0.9997894736842106;0.9997073170731707;0.9997333333333334;0.7035102040816327;0.7881126760563381;0.7535666666666667;0.9540408163265306;0.9816901408450704;0.9704;0.9702857142857143;0.9370704225352112;0.9506333333333333;0.6459868421052631;0.6546621621621621;0.6502666666666667;0.9105921052631579;0.9586486486486486;0.9343;0.9631578947368421;0.9198648648648649;0.9418;0.8255227882037534;0.7191189427312775;0.7852666666666667;0.9762466487935657;0.9883700440528634;0.9808333333333333;0.9891152815013405;0.9688986784140969;0.9814666666666667;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;420
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;480
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;540
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;600
