pos0.0_total;neg0.0_total;tot0.0_total;pos0.0_positive;neg0.0_positive;tot0.0_positive;pos0.0_negative;neg0.0_negative;tot0.0_negative;pos0.1_total;neg0.1_total;tot0.1_total;pos0.1_positive;neg0.1_positive;tot0.1_positive;pos0.1_negative;neg0.1_negative;tot0.1_negative;pos0.2_total;neg0.2_total;tot0.2_total;pos0.2_positive;neg0.2_positive;tot0.2_positive;pos0.2_negative;neg0.2_negative;tot0.2_negative;pos0.3_total;neg0.3_total;tot0.3_total;pos0.3_positive;neg0.3_positive;tot0.3_positive;pos0.3_negative;neg0.3_negative;tot0.3_negative;pos0.4_total;neg0.4_total;tot0.4_total;pos0.4_positive;neg0.4_positive;tot0.4_positive;pos0.4_negative;neg0.4_negative;tot0.4_negative;pos0.5_total;neg0.5_total;tot0.5_total;pos0.5_positive;neg0.5_positive;tot0.5_positive;pos0.5_negative;neg0.5_negative;tot0.5_negative;pos0.6_total;neg0.6_total;tot0.6_total;pos0.6_positive;neg0.6_positive;tot0.6_positive;pos0.6_negative;neg0.6_negative;tot0.6_negative;pos0.7_total;neg0.7_total;tot0.7_total;pos0.7_positive;neg0.7_positive;tot0.7_positive;pos0.7_negative;neg0.7_negative;tot0.7_negative;query_budget
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.11831325301204819;0.1912479740680713;0.1826;0.17;0.27635332252836303;0.26374285714285717;0.24469879518072288;0.20418152350081037;0.20898571428571427;0.09432525951557093;0.1293969396939694;0.12215714285714285;0.12380622837370242;0.19283528352835283;0.1785857142857143;0.17231833910034602;0.14045004500450045;0.14702857142857143;0.08014018691588785;0.10246913580246914;0.09564285714285714;0.1002803738317757;0.15368312757201646;0.13735714285714284;0.14481308411214952;0.11746913580246914;0.12582857142857143;0.06010507880910683;0.0813751507840772;0.0727;0.09786339754816112;0.13975874547647768;0.12267142857142857;0.1354816112084063;0.10468033775633293;0.11724285714285715;0.06542134831460675;0.05869186046511628;0.06211428571428571;0.09578651685393258;0.12921511627906976;0.11221428571428571;0.13339887640449438;0.09659883720930233;0.11531428571428572;0.08481042654028437;0.06384892086330936;0.07648571428571428;0.10481042654028436;0.1362589928057554;0.1173;0.14118483412322275;0.10064748201438849;0.12508571428571427;0.10334008097165992;0.0879126213592233;0.0988;0.12016194331983805;0.14907766990291263;0.12867142857142858;0.157834008097166;0.10174757281553398;0.14132857142857144;140
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.23734939759036144;0.4011669367909238;0.38174285714285716;0.3546987951807229;0.5617341977309562;0.5371857142857143;0.4916867469879518;0.4202431118314425;0.4287142857142857;0.19896193771626297;0.2675967596759676;0.25342857142857145;0.2633910034602076;0.3856885688568857;0.3604428571428571;0.36408304498269894;0.2989018901890189;0.31235714285714283;0.18738317757009346;0.20925925925925926;0.20257142857142857;0.21070093457943925;0.3145267489711934;0.2827857142857143;0.30957943925233644;0.25277777777777777;0.27014285714285713;0.1368126094570928;0.17201447527141134;0.15765714285714286;0.21057793345008757;0.28950542822677927;0.2573142857142857;0.27950963222416814;0.21541616405307598;0.24155714285714286;0.14797752808988765;0.13831395348837208;0.14322857142857143;0.2088202247191011;0.2767732558139535;0.24221428571428572;0.27140449438202247;0.2018313953488372;0.2372142857142857;0.17936018957345973;0.14392086330935253;0.16528571428571429;0.22;0.2829136690647482;0.24498571428571428;0.2919905213270142;0.20820143884892087;0.25871428571428573;0.21633603238866397;0.1833009708737864;0.20661428571428572;0.2534817813765182;0.3131553398058252;0.27104285714285714;0.31809716599190285;0.2149514563106796;0.28774285714285713;280
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.3506024096385542;0.6144894651539708;0.5832;0.5732530120481928;0.8102755267423014;0.7821714285714285;0.7393975903614458;0.6522366288492707;0.6625714285714286;0.2950173010380623;0.4069306930693069;0.3838285714285714;0.4031141868512111;0.5863006300630063;0.5484857142857142;0.5391695501730104;0.4554815481548155;0.4727571428571429;0.27981308411214956;0.32150205761316875;0.30875714285714284;0.31925233644859813;0.4724485596707819;0.4256142857142857;0.45714953271028036;0.38123456790123456;0.40444285714285716;0.2202802101576182;0.27003618817852837;0.24974285714285716;0.31905429071803854;0.42716525934861277;0.38307142857142856;0.4212959719789842;0.33712907117008445;0.3714571428571429;0.22969101123595506;0.22145348837209303;0.22564285714285715;0.3317696629213483;0.4179941860465116;0.37414285714285717;0.4123876404494382;0.319156976744186;0.36657142857142855;0.2740284360189573;0.21884892086330934;0.25211428571428574;0.34265402843601894;0.42388489208633096;0.3749142857142857;0.42912322274881515;0.32007194244604315;0.3858142857142857;0.32955465587044536;0.27441747572815534;0.31332857142857146;0.38342105263157894;0.46737864077669905;0.40812857142857145;0.48248987854251013;0.32470873786407767;0.43605714285714287;420
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.5619277108433735;0.9240032414910859;0.8810714285714286;0.9140963855421687;0.9837925445705025;0.9755285714285714;0.9769879518072289;0.9613776337115073;0.9632285714285714;0.39494809688581317;0.5706930693069306;0.5344142857142857;0.5595155709342561;0.7705670567056706;0.727;0.7291349480968858;0.6380558055805581;0.6568571428571428;0.36785046728971965;0.4355349794238683;0.4148428571428571;0.45869158878504673;0.6323456790123457;0.5792571428571428;0.6171028037383177;0.5182921810699589;0.5485;0.3024168126094571;0.37710494571773223;0.34664285714285714;0.4320140105078809;0.57167671893848;0.5147142857142857;0.5647285464098074;0.4558262967430639;0.5002428571428571;0.3328370786516854;0.3159302325581395;0.32452857142857144;0.44758426966292136;0.5636337209302326;0.5046142857142857;0.5569101123595506;0.44212209302325584;0.5005;0.38476303317535543;0.29701438848920864;0.34991428571428573;0.45990521327014217;0.570611510791367;0.5038714285714285;0.5783175355450237;0.4355755395683453;0.5216285714285714;0.44516194331983805;0.3724271844660194;0.42375714285714283;0.5198178137651822;0.6204854368932039;0.5494428571428571;0.6390283400809716;0.456504854368932;0.5853142857142857;560
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.46768166089965396;0.7623042304230423;0.7014857142857143;0.7871280276816609;0.9251125112511251;0.8966285714285714;0.9071280276816609;0.8426102610261026;0.8559285714285715;0.45957943925233646;0.5592798353909465;0.5288;0.6185981308411215;0.7814197530864198;0.7316428571428572;0.7678504672897196;0.6643415637860083;0.6959857142857143;0.4087215411558669;0.4932448733413752;0.45877142857142855;0.5557618213660245;0.7114113389626056;0.6479285714285714;0.7076357267950963;0.5877683956574186;0.6366571428571428;0.43264044943820223;0.43142441860465114;0.4320428571428571;0.572808988764045;0.6998255813953488;0.6352285714285715;0.7057584269662921;0.5748837209302325;0.6414428571428571;0.4984834123222749;0.40924460431654675;0.46304285714285714;0.5921800947867298;0.7102158273381295;0.6390571428571429;0.7137914691943128;0.5585611510791367;0.6521428571428571;0.5725101214574899;0.4602427184466019;0.5394714285714286;0.6780364372469636;0.7774271844660194;0.7072857142857143;0.7986437246963562;0.6336407766990291;0.7500857142857142;700
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5336448598130841;0.7117901234567902;0.6573285714285714;0.8040654205607477;0.9223662551440329;0.8862;0.9127102803738317;0.8389917695473251;0.8615285714285714;0.5190192644483362;0.6098190591073582;0.5727857142857142;0.7084063047285464;0.8407720144752714;0.7867857142857143;0.8357968476357268;0.738238841978287;0.7780285714285714;0.5580056179775281;0.5423837209302326;0.5503285714285714;0.7037640449438203;0.8245058139534883;0.7631;0.8346629213483147;0.7143313953488372;0.7755285714285715;0.6064691943127962;0.5333453237410072;0.5774285714285714;0.7504502369668247;0.8437410071942446;0.7875;0.8491943127962085;0.7150359712230215;0.7959142857142857;0.7408704453441296;0.5474271844660195;0.6839428571428572;0.8650607287449392;0.9284951456310679;0.8837285714285714;0.9316396761133603;0.8196601941747573;0.8986857142857143;840
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6480210157618214;0.7467068757539204;0.7064571428571429;0.9187740805604203;0.9701809408926417;0.9492142857142857;0.9721190893169878;0.9356574185765983;0.9505285714285714;0.6697191011235955;0.666656976744186;0.6682142857142858;0.9003932584269663;0.953953488372093;0.9267142857142857;0.956123595505618;0.9011918604651162;0.9291285714285714;0.7585308056872038;0.6428057553956834;0.7125714285714285;0.9441943127962086;0.9773021582733813;0.9573428571428572;0.9785781990521327;0.9373381294964028;0.9622;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;980
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1120
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1260
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1400
