num_queries_total;num_queries_positive;num_queries_negative;max_V_match_fraction
3;3;3;0.0
571.04;571.14;573.68;0.1
784.32;784.18;782.42;0.2
934.76;929.12;931.32;0.3
1014.6;1016.96;1016.32;0.4
1037.76;1035.44;1036.28;0.5
1013.12;1010.06;1010.08;0.6
914.44;919.66;920.14;0.7
