num_queries_total;num_queries_positive;num_queries_negative;max_V_match_fraction
3;3;3;0.0
355.6;353.56;355.28;0.1
505.22;502.28;500.28;0.2
602.98;604.02;607.14;0.3
645.62;640.8;640.8;0.4
659.26;655.1;656.6;0.5
646.26;643.08;635;0.6
576.96;578.72;577.76;0.7
480;475.74;480.52;0.8
309.4;312.28;313.36;0.9
3;3;3;1.0
