pos0.0_positive;neg0.0_positive;tot0.0_positive;pos0.0_negative;neg0.0_negative;tot0.0_negative;pos0.0_total;neg0.0_total;tot0.0_total;pos0.1_positive;neg0.1_positive;tot0.1_positive;pos0.1_negative;neg0.1_negative;tot0.1_negative;pos0.1_total;neg0.1_total;tot0.1_total;pos0.2_positive;neg0.2_positive;tot0.2_positive;pos0.2_negative;neg0.2_negative;tot0.2_negative;pos0.2_total;neg0.2_total;tot0.2_total;pos0.3_positive;neg0.3_positive;tot0.3_positive;pos0.3_negative;neg0.3_negative;tot0.3_negative;pos0.3_total;neg0.3_total;tot0.3_total;pos0.4_positive;neg0.4_positive;tot0.4_positive;pos0.4_negative;neg0.4_negative;tot0.4_negative;pos0.4_total;neg0.4_total;tot0.4_total;pos0.5_positive;neg0.5_positive;tot0.5_positive;pos0.5_negative;neg0.5_negative;tot0.5_negative;pos0.5_total;neg0.5_total;tot0.5_total;pos0.6_positive;neg0.6_positive;tot0.6_positive;pos0.6_negative;neg0.6_negative;tot0.6_negative;pos0.6_total;neg0.6_total;tot0.6_total;pos0.7_positive;neg0.7_positive;tot0.7_positive;pos0.7_negative;neg0.7_negative;tot0.7_negative;pos0.7_total;neg0.7_total;tot0.7_total;query_budget
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.19765384615384615;0.3237059829059829;0.31110076923076924;0.2815846153846154;0.22944786324786326;0.23466153846153845;0.13262307692307693;0.21747521367521366;0.20899;0.1305346153846154;0.20706057692307692;0.1917553846153846;0.19021923076923078;0.1505951923076923;0.15852;0.1049;0.1327221153846154;0.1271576923076923;0.10638205128205128;0.16482087912087912;0.14728923076923076;0.15803589743589744;0.1263868131868132;0.13588153846153847;0.09367692307692307;0.10538571428571429;0.10187307692307693;0.10380769230769231;0.14848589743589743;0.13061461538461538;0.14536538461538462;0.11011666666666667;0.12421615384615385;0.07182115384615384;0.08477692307692308;0.07959461538461539;0.0997923076923077;0.13836307692307692;0.1190776923076923;0.13870615384615384;0.09914307692307692;0.11892461538461538;0.06570153846153846;0.06553846153846153;0.06562;0.11036538461538462;0.14611538461538462;0.12466538461538461;0.14808974358974358;0.10418269230769231;0.13052692307692307;0.08519358974358975;0.07101153846153846;0.07952076923076923;0.12751978021978022;0.15893333333333334;0.13694384615384617;0.16492417582417582;0.1067897435897436;0.14748384615384616;0.10575494505494505;0.09428717948717949;0.10231461538461538;1300
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.40183846153846153;0.6378068376068377;0.61421;0.5615538461538462;0.46954957264957264;0.47875;0.26166153846153845;0.4460504273504273;0.4276115384615385;0.2649730769230769;0.4105115384615385;0.38140384615384615;0.37927307692307693;0.3069375;0.3214046153846154;0.20928846153846153;0.2729942307692308;0.2602530769230769;0.21503333333333333;0.3276967032967033;0.2938976923076923;0.3167846153846154;0.2579934065934066;0.27563076923076923;0.1892102564102564;0.21486153846153846;0.20716615384615383;0.21102307692307692;0.2950948717948718;0.26146615384615385;0.28991346153846154;0.22334102564102565;0.24997;0.1414576923076923;0.1728576923076923;0.1602976923076923;0.2219723076923077;0.2860876923076923;0.25403;0.2855015384615385;0.22127384615384615;0.2533876923076923;0.14472615384615384;0.14482307692307692;0.1447746153846154;0.2245128205128205;0.29120384615384615;0.2511892307692308;0.2950282051282051;0.21113846153846152;0.26147230769230767;0.1740051282051282;0.14206153846153846;0.1612276923076923;0.2592175824175824;0.3171794871794872;0.27660615384615383;0.3285120879120879;0.21591794871794873;0.2947338461538462;0.2160098901098901;0.18694358974358974;0.20729;2600
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.6732076923076923;0.8867239316239316;0.8653723076923077;0.8307461538461538;0.7513760683760684;0.7593130769230769;0.3779461538461538;0.7189358974358975;0.6848369230769231;0.4037807692307692;0.6096625;0.5684861538461539;0.5675307692307693;0.46767884615384614;0.4876492307692308;0.3103153846153846;0.41754615384615384;0.3961;0.33163076923076923;0.48743956043956044;0.4406969230769231;0.4746923076923077;0.39008351648351647;0.4154661538461539;0.280625641025641;0.3258285714285714;0.3122676923076923;0.31771346153846153;0.44125641025641027;0.3918392307692308;0.4352576923076923;0.33790384615384617;0.37684538461538464;0.21537307692307692;0.2683858974358974;0.24718076923076923;0.3348430769230769;0.4286261538461538;0.3817346153846154;0.4281430769230769;0.3351753846153846;0.38165923076923075;0.22812;0.22894461538461539;0.2285323076923077;0.3380153846153846;0.43593076923076923;0.37718153846153846;0.44115897435897433;0.31866153846153844;0.39216;0.2686948717948718;0.21570192307692307;0.2474976923076923;0.3903186813186813;0.4747820512820513;0.4156576923076923;0.4875164835164835;0.3313589743589744;0.44066923076923076;0.3256879120879121;0.2810615384615385;0.3123;3900
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5673230769230769;0.7875009615384615;0.7434653846153846;0.74685;0.6421067307692307;0.6630553846153846;0.4061423076923077;0.575575;0.5416884615384615;0.456651282051282;0.6382912087912088;0.5837992307692308;0.6301615384615384;0.528187912087912;0.55878;0.37398461538461536;0.44305274725274724;0.4223323076923077;0.4287980769230769;0.583073076923077;0.5213630769230769;0.5766211538461539;0.4584730769230769;0.5057323076923077;0.2848173076923077;0.3774987179487179;0.3404261538461538;0.45514615384615387;0.5713184615384616;0.5132323076923077;0.5713707692307692;0.4546184615384615;0.5129946153846154;0.31862153846153846;0.3182753846153846;0.3184484615384615;0.4580217948717949;0.5770942307692307;0.5056507692307692;0.5832538461538461;0.4296865384615385;0.521826923076923;0.37785512820512823;0.28524615384615387;0.34081153846153844;0.527810989010989;0.6295871794871795;0.5583438461538461;0.6392626373626373;0.45795384615384616;0.58487;0.4418362637362637;0.37306923076923076;0.42120615384615384;5200
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8049884615384615;0.9395913461538462;0.9126707692307693;0.9256153846153846;0.8684278846153846;0.8798653846153847;0.4818;0.7848932692307692;0.7242746153846154;0.6307487179487179;0.7990604395604396;0.7485669230769231;0.7816897435897436;0.680221978021978;0.7106623076923076;0.4633564102564103;0.5700978021978022;0.5380753846153846;0.5545673076923077;0.7186128205128205;0.6529946153846153;0.7127288461538461;0.5881923076923077;0.6380069230769231;0.4071153846153846;0.49299358974358976;0.4586423076923077;0.5779;0.7079492307692308;0.6429246153846154;0.7076753846153846;0.5777507692307692;0.6427130769230769;0.42749384615384617;0.42696615384615383;0.42723;0.5881615384615385;0.7136846153846154;0.6383707692307692;0.7198397435897436;0.5550442307692308;0.6539215384615384;0.4925807692307692;0.40923846153846155;0.45924384615384617;0.6797593406593406;0.7824282051282051;0.71056;0.7970967032967033;0.6295846153846154;0.7468430769230769;0.5701417582417583;0.46313333333333334;0.5380392307692308;6500
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8103692307692307;0.9282021978021978;0.8928523076923077;0.9266717948717949;0.8560835164835164;0.87726;0.5463461538461538;0.7215307692307692;0.6689753846153846;0.7207326923076923;0.8506358974358974;0.7986746153846154;0.8505365384615384;0.7583846153846154;0.7952453846153846;0.5356269230769231;0.607474358974359;0.5787353846153847;0.7148307692307693;0.8385876923076923;0.7767092307692308;0.8375984615384615;0.7138923076923077;0.7757453846153847;0.54688;0.5473153846153846;0.5470976923076923;0.7579038461538462;0.8502615384615385;0.7948469230769231;0.8507782051282051;0.7211134615384616;0.7989123076923077;0.6071769230769231;0.5355365384615385;0.5785207692307692;0.8570692307692308;0.9274615384615384;0.878186923076923;0.9285318681318682;0.8115974358974359;0.8934515384615385;0.7223637362637363;0.549925641025641;0.6706323076923076;7800
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9421346153846154;0.98145;0.9657238461538461;0.9802596153846154;0.9477179487179487;0.9607346153846154;0.6353096153846154;0.7474076923076923;0.7025684615384615;0.9024630769230769;0.9567307692307693;0.9295969230769231;0.956856923076923;0.9030215384615384;0.9299392307692308;0.6674076923076923;0.6669953846153847;0.6672015384615385;0.9469384615384615;0.9799634615384616;0.9601484615384616;0.9810397435897436;0.9408153846153846;0.96495;0.747175641025641;0.6364134615384616;0.7028707692307692;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;9100
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;10400
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;11700
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13000
