pos0.0_positive;neg0.0_positive;tot0.0_positive;pos0.0_negative;neg0.0_negative;tot0.0_negative;pos0.0_total;neg0.0_total;tot0.0_total;pos0.1_positive;neg0.1_positive;tot0.1_positive;pos0.1_negative;neg0.1_negative;tot0.1_negative;pos0.1_total;neg0.1_total;tot0.1_total;pos0.2_positive;neg0.2_positive;tot0.2_positive;pos0.2_negative;neg0.2_negative;tot0.2_negative;pos0.2_total;neg0.2_total;tot0.2_total;pos0.3_positive;neg0.3_positive;tot0.3_positive;pos0.3_negative;neg0.3_negative;tot0.3_negative;pos0.3_total;neg0.3_total;tot0.3_total;pos0.4_positive;neg0.4_positive;tot0.4_positive;pos0.4_negative;neg0.4_negative;tot0.4_negative;pos0.4_total;neg0.4_total;tot0.4_total;pos0.5_positive;neg0.5_positive;tot0.5_positive;pos0.5_negative;neg0.5_negative;tot0.5_negative;pos0.5_total;neg0.5_total;tot0.5_total;pos0.6_positive;neg0.6_positive;tot0.6_positive;pos0.6_negative;neg0.6_negative;tot0.6_negative;pos0.6_total;neg0.6_total;tot0.6_total;pos0.7_positive;neg0.7_positive;tot0.7_positive;pos0.7_negative;neg0.7_negative;tot0.7_negative;pos0.7_total;neg0.7_total;tot0.7_total;pos0.8_positive;neg0.8_positive;tot0.8_positive;pos0.8_negative;neg0.8_negative;tot0.8_negative;pos0.8_total;neg0.8_total;tot0.8_total;query_budget
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.197875;0.3223759259259259;0.30992583333333334;0.2796416666666667;0.22745092592592592;0.23267;0.12801666666666667;0.2172388888888889;0.20831666666666668;0.13120416666666668;0.206325;0.19130083333333334;0.1889875;0.14881041666666667;0.15684583333333332;0.10463333333333333;0.13355625;0.12777166666666667;0.1031;0.16358095238095238;0.14543666666666666;0.15802222222222223;0.12763095238095237;0.13674833333333333;0.09728611111111111;0.105275;0.10287833333333334;0.103825;0.14821944444444443;0.13046166666666667;0.14424375;0.10841666666666666;0.1227475;0.0675875;0.08480416666666667;0.0779175;0.09823;0.13856;0.118395;0.13940833333333333;0.098675;0.11904166666666667;0.06564666666666667;0.06550833333333334;0.0655775;0.10811527777777778;0.14497916666666666;0.12286083333333334;0.1476513888888889;0.10349583333333333;0.12998916666666666;0.08447222222222223;0.06877291666666667;0.0781925;0.12631190476190476;0.15840555555555555;0.13594;0.16338809523809525;0.103525;0.14542916666666666;0.10565833333333334;0.09756666666666666;0.10323083333333333;0.14915520833333334;0.1887125;0.15706666666666666;0.20661354166666668;0.13105;0.19150083333333334;0.13302395833333333;0.10470416666666667;0.12736;1200
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.40635;0.6336324074074074;0.6109041666666667;0.5584166666666667;0.4649861111111111;0.4743291666666667;0.2514;0.44451851851851854;0.4252066666666667;0.26615;0.411325;0.38229;0.3762666666666667;0.30197083333333335;0.31683;0.20683333333333334;0.27145625;0.25853166666666666;0.20885277777777778;0.3243261904761905;0.2896841666666667;0.3148972222222222;0.2580892857142857;0.27513166666666666;0.19365277777777778;0.21532738095238096;0.208825;0.21085625;0.29460138888888887;0.26110333333333335;0.28854583333333333;0.2205777777777778;0.247765;0.136425;0.17188194444444443;0.15769916666666667;0.219475;0.28389;0.2516825;0.283845;0.21932333333333334;0.25158416666666666;0.13976666666666668;0.14096;0.14036333333333334;0.2205361111111111;0.28861875;0.24776916666666668;0.2945291666666667;0.21006666666666668;0.26074416666666667;0.17251111111111112;0.13737916666666666;0.15845833333333334;0.25824166666666665;0.315925;0.27554666666666666;0.3251797619047619;0.20869722222222223;0.290235;0.21628690476190476;0.19241111111111112;0.20912416666666667;0.30259479166666664;0.3763916666666667;0.31735416666666666;0.410328125;0.265875;0.3814375;0.27134375;0.20721666666666666;0.25851833333333335;2400
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.6696333333333333;0.8843583333333334;0.8628858333333334;0.827075;0.7498435185185185;0.7575666666666667;0.3645583333333333;0.7174851851851852;0.6821925;0.4069875;0.60800625;0.5678025;0.5623708333333334;0.4606854166666667;0.4810225;0.30867083333333334;0.4151989583333333;0.3938933333333333;0.31837777777777776;0.48332857142857144;0.43384333333333336;0.47392222222222224;0.3897547619047619;0.415005;0.2909277777777778;0.3267261904761905;0.3159866666666667;0.3181979166666667;0.44019861111111114;0.39139833333333335;0.4336729166666667;0.3328638888888889;0.3731875;0.20251875;0.2689708333333333;0.24239;0.3316616666666667;0.426675;0.37916833333333333;0.42642;0.33040833333333336;0.37841416666666666;0.22164333333333333;0.22351666666666667;0.22258;0.3318069444444444;0.43181875;0.37181166666666665;0.4409708333333333;0.31801666666666667;0.3917891666666667;0.26897777777777776;0.20317083333333333;0.242655;0.3903654761904762;0.4739833333333333;0.4154508333333333;0.483397619047619;0.3186611111111111;0.4339766666666667;0.3267690476190476;0.2892;0.3154983333333333;0.46107291666666667;0.5628333333333333;0.481425;0.6087427083333333;0.40702916666666666;0.5684;0.41465520833333336;0.3081291666666667;0.39335;3600
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5635;0.787365625;0.7425925;0.7411041666666667;0.6415333333333333;0.6614475;0.4023875;0.579434375;0.544025;0.4586;0.6353797619047619;0.5823458333333333;0.6287916666666666;0.5260571428571429;0.5568775;0.3828138888888889;0.44328214285714285;0.42514166666666664;0.43095208333333335;0.5826986111111111;0.522;0.5723875;0.450675;0.49936;0.2854291666666667;0.3847541666666667;0.3450241666666667;0.4500016666666667;0.5683433333333333;0.5091725;0.5683083333333333;0.4507966666666667;0.5095525;0.31698166666666666;0.31508166666666665;0.31603166666666666;0.45100277777777775;0.5731208333333333;0.49985;0.5831875;0.43128125;0.522425;0.38514027777777776;0.2869770833333333;0.345875;0.5267666666666667;0.6292277777777778;0.557505;0.6352714285714286;0.4576222222222222;0.5819766666666667;0.44394047619047616;0.38156388888888887;0.4252275;0.6416552083333333;0.7417041666666667;0.661665;0.788315625;0.5644083333333333;0.7435341666666667;0.5799802083333333;0.4010666666666667;0.5441975;4800
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8061708333333333;0.9367385416666667;0.910625;0.9210458333333333;0.862171875;0.8739466666666666;0.4788208333333333;0.7880489583333333;0.7262033333333333;0.6309444444444444;0.7927571428571428;0.7442133333333333;0.7799222222222222;0.6732535714285715;0.7052541666666666;0.47021111111111114;0.5674845238095239;0.5383025;0.552475;0.7181305555555556;0.6518683333333334;0.70635;0.5786361111111111;0.6297216666666666;0.40824166666666667;0.5002069444444445;0.46342083333333334;0.57001;0.7044166666666667;0.6372133333333333;0.704985;0.5710283333333334;0.6380066666666667;0.4319983333333333;0.433785;0.4328916666666667;0.5782916666666666;0.7059708333333333;0.6293633333333334;0.7182541666666666;0.5523770833333334;0.6519033333333333;0.50135;0.4072604166666667;0.46371416666666665;0.6735809523809524;0.7797805555555556;0.7054408333333333;0.7930142857142857;0.6305611111111111;0.7442783333333334;0.5673988095238095;0.4691361111111111;0.53792;0.8631583333333334;0.9215041666666667;0.8748275;0.9351375;0.8036333333333333;0.9088366666666666;0.786053125;0.4780583333333333;0.7244541666666666;6000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8022555555555556;0.9265166666666667;0.8892383333333334;0.9212666666666667;0.8435428571428571;0.86686;0.54945;0.7196619047619047;0.6685983333333333;0.711275;0.8481166666666666;0.79338;0.8426729166666667;0.7527861111111112;0.7887408333333333;0.5329958333333333;0.6159513888888889;0.5827691666666667;0.7034716666666667;0.83506;0.7692658333333333;0.8339783333333334;0.7021416666666667;0.76806;0.5516816666666666;0.5517233333333333;0.5517025;0.7530125;0.84355;0.7892275;0.8496861111111111;0.7137208333333334;0.7953;0.6163125;0.5314854166666667;0.5823816666666667;0.8448714285714286;0.921925;0.8679875;0.9256202380952381;0.8005888888888889;0.8881108333333333;0.7211702380952381;0.5467833333333333;0.6688541666666666;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7200
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9293291666666667;0.9768347222222222;0.9578325;0.9752708333333333;0.9358222222222222;0.9516016666666667;0.6375583333333333;0.7440291666666666;0.7014408333333333;0.892735;0.9503416666666666;0.9215383333333333;0.9508416666666667;0.893985;0.9224133333333333;0.672525;0.6732466666666667;0.6728858333333333;0.9360027777777777;0.9753770833333333;0.9517525;0.9765541666666666;0.9285895833333333;0.9573683333333334;0.7450486111111111;0.6388916666666666;0.7025858333333334;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;8400
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;9600
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;10800
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;12000
