time_positive;time_negative;time_total;len_T
30107810.44;31603786.22;35357224.83;5000
37192382.73;38654977.61;42752565.19;6000
42791302;45088085.1;49837766.29;7000
48305508.1;52042292.48;58001182.02;8000
53858914.68;57276498.56;64603843.44;9000
61014075.31;64711809.33;72216955.55;10000
68055930.21;71416526.15;79732624.42;11000
75332227.25;79712044.86;87334589.57;12000
