time_total;time_positive;time_negative;len_T
19921033.42;19809356.86;29678812.74;500
22176736.7;22129509.8;34816441.62;600
30930106.42;31438403;47686566.72;800
35808427.14;36029231.6;54412284.86;900
40160692.24;39561219;60027475.02;1000
44039804.74;43630142.18;65378597.56;1100
47710798.14;47632847.2;72062041.2;1200
