timetotal;timepositive;timenegative;max_V_match_fraction
180938786.18;180657189.32;180535344.28;0.0
35184367196.34;34883686486.3;34869425230.74;0.1
51381994169.6;51222980401.34;52378197488.94;0.2
62058603794.24;61574762465.16;63722727247.64;0.3
68297317985.98;67828687113.72;71075340976.58;0.4
70234668899.82;69118534986.26;70572279737.66;0.5
67006002892.02;67194300561.32;70487658894.76;0.6
62083488317.3;61439992751.64;63871779109.8;0.7
51127079100.12;50859917455.3;52311084668.92;0.8
35270878750.92;35239391253.68;35330372671.34;0.9
184470593.58;184585290.06;184471064.04;1.0
