timetotal;timepositive;timenegative;max_V_match_fraction
397228507.68;397542511.7;398511026.46;0.0
73740994458.46;72956519885.94;72265201874.48;0.1
108476777532.32;108377374928.98;89501576644.8;0.2
131156304019.1;130370540264.74;92804245369.58;0.3
143435128777.66;140844004940.14;128958888133.18;0.4
148887785076.14;143547921114.22;97407347972.34;0.5
141517056940.1;139782004358.54;127755545885.24;0.6
129699725214.24;128164946552.32;87299214863.08;0.7
107973844487.72;107298913350.16;89747528422.8;0.8
72749135336.22;72193987322.6;70883772272.82;0.9
410862160.22;411179959.66;412539548.28;1.0
