time_total;time_positive;time_negative;max_V_match_fraction
546729521.24;538744953.28;538781256.52;0.0
90136545630.86;89209576212.08;89443959863.28;0.1
131916302070.4;131021033375.9;127853634063.44;0.2
158065686607.66;157224552193.36;113073077407.26;0.3
174037482832.6;171334219720.68;145878119851.26;0.4
177864758014.24;173299562569.52;160100968550.42;0.5
173522262554.16;170096037607.68;147378235744.68;0.6
155294874774.36;153730159909.18;121701738544.78;0.7
130415909410.18;129553915590.96;127029290428.5;0.8
88803197613.28;87580937607.2;87216424757.66;0.9
556433374.42;563271470.12;557896212.04;1.0
