timetotal;timepositive;timenegative;max_V_match_fraction
353983597.04;355707702.1;354420862.06;0.0
69081763069.78;68333999503.8;68017184837.72;0.1
100357238765.72;100423805752.56;83884802723;0.2
121618595574.26;120939987454.56;80527575435.56;0.3
132338400742.5;130997807156.92;120698122525.46;0.4
133683717240.02;129316383442.8;90078901377.16;0.5
129606746205.92;128628020658.02;119269389247.86;0.6
118466460132.28;117281019675.34;92973842166;0.7
98150494914.58;97059088189.04;80331630956.42;0.8
66507686450.2;66177104038.64;65806838859.1;0.9
369747179.84;368799690.88;369262631.82;1.0
