timetotal;timepositive;timenegative;max_V_match_fraction
244552140.7;243944600.58;244323016.52;0.0
46301530578.34;45781408840.92;45946845982.6;0.1
68492918223.16;67713435867.28;69103123628.38;0.2
82461805602.54;82152398506.64;84197053091.22;0.3
89149002493.88;89257877011.42;91508136338.8;0.4
91889907841.6;92150855135.72;94146749444.34;0.5
88076262772.02;88183515816.42;90719898068.52;0.6
80749402792.22;80368965842;82479425868.3;0.7
67428225563.84;67187877924.68;68247301383.28;0.8
45266453874.9;45042743835.26;45066647712.06;0.9
251723611.58;255157765.5;252826792.58;1.0
