queries_total;queries_positive;queries_negative;len_T
321.88;322.34;323.22;500
388.22;391.38;389.54;600
528.5;529.36;529.9;800
576.96;578.72;577.76;900
643.12;642.76;646.28;1000
711.04;711.08;707.5;1100
784.16;784.74;781.52;1200
851.96;851.56;851.22;1300
914.44;919.66;920.14;1400
