queries_total;queries_positive;queries_negative;len_T
348.98;347.1;349.9;500
425.16;424.98;426.08;600
577.12;577.32;575.24;800
646.26;643.08;635;900
702.46;697.82;702.54;1000
776.58;778.96;775.58;1100
850.44;854.6;854.16;1200
930.58;929.7;929.92;1300
1013.12;1010.06;1010.08;1400
1088.98;1088.82;1084.02;1500
