queries_total;queries_positive;queries_negative;len_T
165.02;163.9;164.26;500
202.8;200.92;202.1;600
275.5;278.84;277.72;800
309.4;312.28;313.36;900
342.96;343.06;344.86;1000
377.82;378.08;378.46;1100
