queries_total;queries_positive;queries_negative;len_T
290.58;289.06;290.68;500
337.5;336.86;337.48;600
442.02;442.42;445.4;800
505.22;502.28;500.28;900
544.3;542.74;549;1000
600.9;602.02;599.78;1100
669.98;665.92;667.16;1200
735.96;733.38;733.34;1300
784.32;784.18;782.42;1400
865.26;861.76;864.12;1500
