queries_total;queries_positive;queries_negative;len_T
359.22;362.02;364.4;500
440;443.06;440.9;600
594.14;591.7;594.16;800
659.26;655.1;656.6;900
720.98;721.12;719.22;1000
797.88;795.76;797.74;1100
881.78;878.86;880.96;1200
961.44;961.1;959.18;1300
1037.76;1035.44;1036.28;1400
1117.38;1119.56;1119.12;1500
