queries_total;queries_positive;queries_negative;len_T
355.72;353.6;355.8;500
428.4;432.58;432.14;600
577.56;580.84;583.32;800
645.62;640.8;640.8;900
703.74;704.06;699.28;1000
781.7;778.78;782.92;1100
862.16;861.34;861.74;1200
942.32;945.8;940.68;1300
1014.6;1016.96;1016.32;1400
1089.16;1084.08;1093.66;1500
