queries_total;queries_positive;queries_negative;len_T
259.9;262;260.26;500
308.08;308.88;309.68;600
426.52;426.2;425.5;800
480;475.74;480.52;900
528.6;529.82;533.04;1000
584.7;584.08;584.66;1100
625.86;628.7;624.02;1200
