PSU;max_V_match_fraction
2984239521.375;0.0
3609122053.95;0.1
3810673980.35;0.2
3753750436.235;0.3
3090234625.89;0.4
2755761878.35;0.5
2702922316.7;0.6
2638202137.63;0.7
