time_total;time_positive;time_negative;len_T
16526800.28;26271788.54;15946217.84;500
18000534.9;30244438.36;17786017.24;600
20661559.62;36152556.8;20616665.24;800
24727750.36;41890761.36;24453083.62;900
26198529.98;44990237.4;25175736.74;1000
28648165.24;49514120.3;28033057.62;1100
32681046.88;55630984.76;31810477.52;1200
34141245.9;59574404.02;33780549.5;1300
39811605.62;67729505.36;39981077.94;1400
41343086.94;70954482.52;41098560.44;1500
