time_total;time_positive;time_negative;len_T
11360222.08;10924086.68;20486309.74;500
13585972.42;13230154.26;24448698.46;600
18586601.76;18365998.36;33976290.76;800
21258191.74;20808893.28;37956087.18;900
23902716.92;22974470.84;42021884.12;1000
25861052.62;24985230.16;45284388.48;1100
