Baseline;RecordEnumeration;Snake;max_V_match_fraction
62408918.4;493225958.36;113792238.96;0.0
63170005.7;478361887.5;105677438.24;0.1
62944306.9;480224446.6;109790130.3;0.2
64978229.52;481619824.98;113016479.06;0.3
67179235.28;481107961.56;114807007.94;0.4
65396376.34;484365460.54;111906032.46;0.5
68445035.74;486222320.16;113512314.34;0.6
67927247.28;488669789.2;114763455;0.7
70699041.12;491232131.82;117305337.18;0.8
69257946.66;490502660.48;119786487.36;0.9
72588902.64;508663172.08;122986226.64;1.0
