Baseline;RecordEnumeration;Snake;max_V_match_fraction
86294755.6;723964325.16;158175919.18;0.0
86536221.86;742403542.9;170403559.02;0.1
90273133.28;744966426.78;173425174.12;0.2
92161258.74;743828237.72;172463035.3;0.3
92426816.78;741046019.82;174200206.36;0.4
94543207.34;757862178.78;180042889.34;0.5
95287646.14;743451072.92;178037914.54;0.6
96446588.3;758573812.72;182023837.92;0.7
101042728.18;756182935.38;184495641.68;0.8
100824811.22;765425556.58;188165812.04;0.9
97201301.86;741733618.7;173364128.62;1.0
