Baseline;RecordEnumeration;Snake;max_V_match_fraction
38656995.5;266971344.82;65410167.66;0.0
39558425.62;271236875.8;66204866.64;0.1
39419669.1;271207056.08;65604380.16;0.2
39094782.46;267503624.26;66657190.34;0.3
39955720.64;270772788.44;67442655;0.4
39872930.32;270255464.96;67555567.32;0.5
40521802.52;268883302.8;67037972.7;0.6
41333274.3;268605353.84;68375262.94;0.7
41491125.32;271077671.86;69656241.26;0.8
42061473.86;271349113.86;70545826.36;0.9
45974653.14;284484314.26;73962819.68;1.0
