pos0.0_positive;neg0.0_positive;tot0.0_positive;pos0.0_negative;neg0.0_negative;tot0.0_negative;pos0.0_total;neg0.0_total;tot0.0_total;pos0.1_positive;neg0.1_positive;tot0.1_positive;pos0.1_negative;neg0.1_negative;tot0.1_negative;pos0.1_total;neg0.1_total;tot0.1_total;pos0.2_positive;neg0.2_positive;tot0.2_positive;pos0.2_negative;neg0.2_negative;tot0.2_negative;pos0.2_total;neg0.2_total;tot0.2_total;pos0.3_positive;neg0.3_positive;tot0.3_positive;pos0.3_negative;neg0.3_negative;tot0.3_negative;pos0.3_total;neg0.3_total;tot0.3_total;pos0.4_positive;neg0.4_positive;tot0.4_positive;pos0.4_negative;neg0.4_negative;tot0.4_negative;pos0.4_total;neg0.4_total;tot0.4_total;pos0.5_positive;neg0.5_positive;tot0.5_positive;pos0.5_negative;neg0.5_negative;tot0.5_negative;pos0.5_total;neg0.5_total;tot0.5_total;pos0.6_positive;neg0.6_positive;tot0.6_positive;pos0.6_negative;neg0.6_negative;tot0.6_negative;pos0.6_total;neg0.6_total;tot0.6_total;query_budget
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.19440666666666667;0.3286896296296296;0.31526133333333334;0.28548;0.23577185185185184;0.24074266666666666;0.14068;0.2221274074074074;0.21398266666666665;0.13002;0.20957;0.19366;0.19281;0.15530666666666668;0.16280733333333333;0.10589;0.13460416666666666;0.12886133333333333;0.11471777777777778;0.16794;0.15197333333333332;0.16047555555555557;0.1251047619047619;0.135716;0.08687333333333333;0.10165238095238095;0.09721866666666666;0.10231666666666667;0.15002333333333334;0.13094066666666668;0.14951833333333334;0.1153711111111111;0.12903;0.07759666666666666;0.08542555555555556;0.082294;0.09992133333333333;0.13838533333333333;0.11915333333333333;0.13782;0.099592;0.118706;0.066724;0.06773066666666666;0.06722733333333333;0.11509;0.14906833333333333;0.12868133333333334;0.14943444444444445;0.102325;0.13059066666666666;0.0855511111111111;0.07796833333333333;0.082518;1500
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.40391333333333335;0.6386888888888889;0.6152113333333333;0.5700466666666667;0.4810348148148148;0.489936;0.28269333333333335;0.45368148148148146;0.4365826666666667;0.26408;0.4145683333333333;0.3844706666666667;0.38526;0.3175975;0.33113;0.20993;0.27747666666666665;0.26396733333333333;0.23169777777777778;0.33556;0.30440133333333336;0.31965333333333334;0.25256190476190477;0.27268933333333334;0.17348666666666668;0.2046647619047619;0.19531133333333334;0.20841833333333334;0.29727555555555557;0.26173266666666667;0.29792166666666664;0.23504777777777777;0.26019733333333334;0.158515;0.17228555555555555;0.16677733333333333;0.23023866666666667;0.29002;0.2601293333333333;0.288944;0.22987733333333332;0.2594106666666667;0.14656533333333333;0.14734533333333333;0.14695533333333333;0.2352422222222222;0.296955;0.25992733333333334;0.29827444444444445;0.20921833333333334;0.262652;0.17195555555555556;0.157745;0.16627133333333333;3000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.6874933333333333;0.8929674074074074;0.87242;0.84388;0.7554792592592593;0.7643193333333334;0.4152533333333333;0.7138837037037037;0.6840206666666667;0.40688;0.6125616666666667;0.5714253333333333;0.5775733333333334;0.48238;0.5014186666666667;0.31494666666666665;0.4215425;0.4002233333333333;0.35072;0.5016228571428571;0.456352;0.4788866666666667;0.3820647619047619;0.41111133333333333;0.2582888888888889;0.3121457142857143;0.2959886666666667;0.3163;0.4455866666666667;0.393872;0.445455;0.35450333333333334;0.390884;0.23528166666666667;0.2637377777777778;0.2523553333333333;0.3492186666666667;0.43523333333333336;0.392226;0.43545466666666666;0.34940533333333335;0.39243;0.23113466666666665;0.22988533333333333;0.23051;0.3552266666666667;0.44605333333333336;0.3915573333333333;0.4451922222222222;0.3163033333333333;0.3936366666666667;0.2634066666666667;0.23603333333333334;0.2524573333333333;4500
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5907433333333333;0.7923016666666667;0.75199;0.7634333333333333;0.6585866666666667;0.679556;0.41208666666666666;0.5775933333333333;0.544492;0.47613555555555553;0.658772380952381;0.6039813333333334;0.63686;0.5295285714285715;0.561728;0.3507222222222222;0.4349009523809524;0.4096473333333333;0.42838166666666666;0.5862288888888889;0.52309;0.5911383333333333;0.47787111111111114;0.523178;0.3157583333333333;0.36193444444444445;0.343464;0.47422533333333333;0.5809293333333333;0.5275773333333333;0.5801453333333333;0.47339333333333333;0.5267693333333333;0.323616;0.325508;0.324562;0.4775066666666667;0.5903683333333334;0.5226513333333334;0.58628;0.428045;0.522986;0.3615111111111111;0.3151233333333333;0.342956;6000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8182333333333334;0.9525541666666667;0.92569;0.9363533333333334;0.8841366666666667;0.89458;0.49695666666666666;0.785635;0.7278993333333333;0.6250777777777777;0.8090038095238096;0.753826;0.7864044444444445;0.6868066666666667;0.716686;0.4302911111111111;0.5689904761904762;0.5273806666666667;0.55935;0.7217188888888889;0.6567713333333334;0.7335166666666667;0.6130777777777778;0.6612533333333334;0.39882666666666666;0.47214333333333336;0.4428166666666667;0.60082;0.718436;0.659628;0.7194386666666667;0.602036;0.6607373333333333;0.41704;0.4162306666666667;0.41663533333333336;0.6135422222222222;0.7333666666666666;0.661472;0.7210266666666667;0.55893;0.656188;0.47075222222222224;0.40033166666666664;0.442584;7500
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8481555555555556;0.9395838095238095;0.9121553333333333;0.9410488888888889;0.8805580952380953;0.8987053333333334;0.5478044444444444;0.7240495238095238;0.671176;0.7521883333333333;0.8614922222222222;0.8177706666666666;0.8688;0.7678711111111111;0.8082426666666667;0.50712;0.5944222222222222;0.5595013333333333;0.744056;0.852324;0.79819;0.8524373333333334;0.7446493333333334;0.7985433333333334;0.5255946666666667;0.526284;0.5259393333333333;0.7682933333333334;0.8689183333333333;0.8085433333333333;0.8623922222222222;0.7530483333333333;0.8186546666666666;0.59111;0.5086483333333334;0.5581253333333334;9000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9784016666666666;0.9946211111111111;0.9881333333333333;0.9927883333333334;0.9789322222222222;0.9844746666666667;0.64291;0.7582522222222222;0.7121153333333333;0.928924;0.9746333333333334;0.9517786666666667;0.9746133333333333;0.9290026666666666;0.951808;0.6582453333333333;0.65928;0.6587626666666667;0.97978;0.993325;0.985198;0.9947855555555556;0.979265;0.9885773333333333;0.7620022222222222;0.64859;0.7166373333333333;10500
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;12000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13500
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;15000
