num_queries_total;num_queries_positive;num_queries_negative;max_V_match_fraction
1;1;1;0.0
1837.96;1840.32;1838.14;0.1
2734.52;2733.08;2732.8;0.2
3287.62;3278.68;3288.88;0.3
3588.3;3590.96;3589.64;0.4
3688.32;3682.88;3688.54;0.5
3594.64;3584.02;3585.46;0.6
3289.52;3288.3;3291.6;0.7
2750.68;2761.66;2749.86;0.8
1844.82;1839.48;1843.28;0.9
1;1;1;1.0
