num_queries_total;num_queries_positive;num_queries_negative;max_V_match_fraction
1;1;1;0.0
2567.36;2565.16;2566;0.1
3835.16;3843.68;3840.26;0.2
4572.78;4582.28;4581.02;0.3
5017.9;5005.1;5003.72;0.4
5138.96;5141.74;5128.2;0.5
4994.86;4993.52;4994.92;0.6
4586.16;4589.56;4577.72;0.7
3809.54;3807.4;3798.82;0.8
2580.54;2576.72;2580.28;0.9
1;1;1;1.0
