PSU;len_T
233409022.45;500000
258264934.44;600000
268435861.01;700000
283396706.83;800000
335924178.285;900000
242061467.735;1000000
234946786.245;1100000
247840019.035;1200000
252874071.535;1300000
262713728.015;1400000
