PSU;len_T
199839225.12;500000
222639421.62;600000
240561304.82;700000
269615818.7;800000
273897631.2;900000
287345321.98;1000000
330973601.68;1100000
338808851.4;1200000
332908096;1300000
355384329.54;1400000
338590058.46;1500000
