PSU;len_T
202479103.14;500000
219453101.28;600000
248329931.48;700000
263956807.38;800000
277280268.34;900000
299424281.62;1000000
310013526.34;1100000
321572655;1200000
336080842.72;1300000
351848141.96;1400000
357647468.92;1500000
