PSU;len_T
217827880.78;500000
232327809.94;600000
263469288.26;700000
276640768.04;800000
296300749.28;900000
317670486.7;1000000
333946779.88;1100000
349293788.64;1200000
334874421.88;1300000
347323226.7;1400000
366395347.86;1500000
