Baseline;RecordEnumeration;Snake;len_T
39558425.62;271236875.8;66204866.64;5000
45029647.02;319563210.28;75037387.86;6000
50715308.04;525870804.4;130964943.28;7000
57819238.76;426989509.84;98057197.12;8000
63170005.7;478361887.5;105677438.24;9000
67410700.9;540211156.96;119475064.16;10000
78683903.82;626896902.12;142557382.02;11000
84410309.62;689874267.86;157353095.8;12000
86536221.86;742403542.9;170403559.02;13000
94096185.92;795560882.52;183971515.86;14000
98922371.42;846795290.94;193106448.26;15000
