Baseline;RecordEnumeration;Snake;len_T
41333274.3;268605353.84;68375262.94;5000
48482616.98;325595145.84;80254025.78;6000
54978162.74;378592082.6;95722281.48;7000
61574201.7;431460578.78;107739124.32;8000
67927247.28;488669789.2;114763455;9000
79102254.1;579842165.24;144168503.58;10000
85711386.56;635181456.48;149753797.1;11000
91927499.62;692294005.64;171098848.68;12000
96446588.3;758573812.72;182023837.92;13000
105126418.7;803873889.14;191698327.88;14000
111356436.16;874589853.86;204792092.1;15000
