Baseline;RecordEnumeration;Snake;len_T
39419669.1;271207056.08;65604380.16;5000
45589416.34;320606639.14;76441310.7;6000
51057687.2;372947755.96;87792037.88;7000
56829835.8;423037932.4;100104033.98;8000
62944306.9;480224446.6;109790130.3;9000
69141055.76;545115794.86;122811656.28;10000
80645253.08;630041708.18;156268503.54;11000
84154056.92;688807925.82;161966989.04;12000
90273133.28;744966426.78;173425174.12;13000
96901331.14;791908681.7;183228225.34;14000
99830914.66;851217916.9;193755318.96;15000
