Baseline;RecordEnumeration;Snake;len_T
38656995.5;266971344.82;65410167.66;5000
45746846.56;325823176.64;78248027.74;6000
51549428.02;379002842.42;90050461.1;7000
57557397.7;437515681.38;100332970.04;8000
62408918.4;493225958.36;113792238.96;9000
70361227.18;553019955.96;123824529.98;10000
75460691.56;613826899.84;132158178.82;11000
80182060.14;668912650.16;147437656.22;12000
86294755.6;723964325.16;158175919.18;13000
91410299.58;778280263.54;169359883.5;14000
96953545.16;836937024.2;182215836.18;15000
