time_positive;time_negative;time_total;max_V_match_fraction
5125025.09;5103174.95;5195823.55;0.0
35539794.51;35410336.38;40610872.6;0.1
51839240.42;50615529.31;58436439.09;0.2
60349739.7;60637492.98;69414522.44;0.3
66586334.01;64397896.34;76194888.22;0.4
65262411.78;66591631.8;78707651.94;0.5
62863802.18;67351622.26;76047787.75;0.6
58681705.25;60766790.01;68332717.88;0.7
48305508.1;52042292.48;58001182.02;0.8
33872941.68;35473794.71;39541718.21;0.9
5097325.78;5134908.87;5116270.24;1.0
