pos0.0_total;neg0.0_total;tot0.0_total;pos0.0_positive;neg0.0_positive;tot0.0_positive;pos0.0_negative;neg0.0_negative;tot0.0_negative;pos0.1_total;neg0.1_total;tot0.1_total;pos0.1_positive;neg0.1_positive;tot0.1_positive;pos0.1_negative;neg0.1_negative;tot0.1_negative;pos0.2_total;neg0.2_total;tot0.2_total;pos0.2_positive;neg0.2_positive;tot0.2_positive;pos0.2_negative;neg0.2_negative;tot0.2_negative;pos0.3_total;neg0.3_total;tot0.3_total;pos0.3_positive;neg0.3_positive;tot0.3_positive;pos0.3_negative;neg0.3_negative;tot0.3_negative;pos0.4_total;neg0.4_total;tot0.4_total;pos0.4_positive;neg0.4_positive;tot0.4_positive;pos0.4_negative;neg0.4_negative;tot0.4_negative;pos0.5_total;neg0.5_total;tot0.5_total;pos0.5_positive;neg0.5_positive;tot0.5_positive;pos0.5_negative;neg0.5_negative;tot0.5_negative;pos0.6_total;neg0.6_total;tot0.6_total;pos0.6_positive;neg0.6_positive;tot0.6_positive;pos0.6_negative;neg0.6_negative;tot0.6_negative;pos0.7_total;neg0.7_total;tot0.7_total;pos0.7_positive;neg0.7_positive;tot0.7_positive;pos0.7_negative;neg0.7_negative;tot0.7_negative;pos0.8_total;neg0.8_total;tot0.8_total;pos0.8_positive;neg0.8_positive;tot0.8_positive;pos0.8_negative;neg0.8_negative;tot0.8_negative;pos0.9_total;neg0.9_total;tot0.9_total;pos0.9_positive;neg0.9_positive;tot0.9_positive;pos0.9_negative;neg0.9_negative;tot0.9_negative;query_budget
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.1289655172413793;0.2060569105691057;0.19792727272727273;0.18120689655172414;0.30091463414634145;0.2882909090909091;0.2608620689655172;0.22410569105691056;0.22798181818181817;0.09660714285714286;0.12808219178082192;0.12167272727272728;0.12053571428571429;0.19287671232876713;0.17814545454545455;0.1767857142857143;0.14520547945205478;0.15163636363636362;0.07921921921921922;0.0996870925684485;0.0934909090909091;0.1033033033033033;0.15436766623207301;0.1389090909090909;0.14702702702702702;0.119374185136897;0.12774545454545455;0.06734234234234235;0.08365853658536586;0.07707272727272728;0.09554054054054054;0.13426829268292684;0.11863636363636364;0.1377027027027027;0.10905487804878049;0.12061818181818182;0.06667844522968198;0.06393258426966292;0.06534545454545454;0.09515901060070671;0.12726591760299624;0.11074545454545455;0.13070671378091872;0.09599250936329588;0.11385454545454546;0.0856108597285068;0.0654004576659039;0.07758181818181818;0.10742081447963801;0.1340045766590389;0.11798181818181819;0.13704374057315233;0.09739130434782609;0.12129090909090909;0.10116279069767442;0.07975460122699386;0.09481818181818182;0.12214470284237726;0.14705521472392638;0.12952727272727274;0.15658914728682172;0.10306748466257669;0.14072727272727273;0.13576576576576577;0.0969811320754717;0.1282909090909091;0.15277027027027026;0.18377358490566037;0.15874545454545455;0.20403153153153153;0.12528301886792453;0.18885454545454544;0.22698;0.135;0.21861818181818182;0.2453;0.2892;0.2492909090909091;0.33902;0.2016;0.3265272727272727;110
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.26982758620689656;0.44654471544715446;0.4279090909090909;0.3906896551724138;0.6025406504065041;0.5802;0.5210344827586207;0.47071138211382113;0.47601818181818184;0.2019642857142857;0.27490867579908673;0.2600545454545454;0.2629464285714286;0.3931963470319635;0.36667272727272726;0.3761607142857143;0.31374429223744293;0.32645454545454544;0.16786786786786786;0.2004954367666232;0.19061818181818183;0.2246846846846847;0.3254758800521512;0.2949636363636364;0.31375375375375375;0.24761408083441983;0.2676363636363636;0.15504504504504504;0.16966463414634148;0.16376363636363636;0.20355855855855856;0.29021341463414635;0.25523636363636365;0.29202702702702704;0.22664634146341464;0.2530363636363636;0.14911660777385158;0.14277153558052436;0.14603636363636363;0.22024734982332156;0.28146067415730336;0.24996363636363636;0.272791519434629;0.20153558052434456;0.2382;0.1758974358974359;0.15336384439359269;0.16694545454545454;0.23007541478129714;0.2908466819221968;0.25421818181818184;0.2910105580693816;0.2074141876430206;0.2578;0.20767441860465116;0.17042944785276073;0.19663636363636364;0.2534883720930233;0.3173006134969325;0.2724;0.3296640826873385;0.22858895705521473;0.2997090909090909;0.28686936936936935;0.20669811320754716;0.27141818181818184;0.31756756756756754;0.38443396226415094;0.33045454545454545;0.40554054054054056;0.2687735849056604;0.3791818181818182;0.49586;0.29;0.47714545454545454;0.51996;0.5758;0.5250363636363636;0.66658;0.4312;0.6451818181818182;220
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.39413793103448275;0.6936178861788618;0.6620363636363636;0.6424137931034483;0.859939024390244;0.837;0.8091379310344827;0.7329268292682927;0.7409636363636364;0.30339285714285713;0.42246575342465753;0.3982181818181818;0.40375;0.5984931506849315;0.5588363636363637;0.5592857142857143;0.4821689497716895;0.4978727272727273;0.24444444444444444;0.3159582790091265;0.2943090909090909;0.3422222222222222;0.4878487614080834;0.44376363636363636;0.46774774774774774;0.38821382007822686;0.4122909090909091;0.2312162162162162;0.2640548780487805;0.2508;0.3156306306306306;0.4296036585365854;0.3836;0.4300900900900901;0.35054878048780486;0.38265454545454547;0.23371024734982332;0.22767790262172286;0.23078181818181817;0.3456183745583039;0.4305243445692884;0.38683636363636364;0.41770318021201414;0.3262921348314607;0.37332727272727273;0.2653393665158371;0.22851258581235698;0.2507090909090909;0.3545399698340875;0.4302059496567506;0.3846;0.43049773755656107;0.31588100686498854;0.38496363636363634;0.31762273901808785;0.2514110429447853;0.298;0.3862015503875969;0.4680368098159509;0.41045454545454546;0.4963307493540052;0.34687116564417175;0.4520363636363636;0.4394369369369369;0.3164150943396226;0.4157272727272727;0.4921846846846847;0.5712264150943396;0.5074181818181818;0.6169144144144144;0.41830188679245284;0.5786363636363636;0.78934;0.4276;0.7564545454545455;0.81594;0.883;0.8220363636363637;0.92978;0.7472;0.9131818181818182;330
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.40848214285714285;0.5769863013698631;0.5426727272727273;0.5775892857142857;0.784634703196347;0.7424727272727273;0.7496428571428572;0.6549315068493151;0.6742181818181818;0.34;0.4276140808344198;0.4010909090909091;0.4732132132132132;0.651838331160365;0.5977636363636364;0.6249249249249249;0.524380704041721;0.5548181818181818;0.3172972972972973;0.35545731707317074;0.34005454545454544;0.43148648648648646;0.5789939024390244;0.5194545454545455;0.5797297297297297;0.4761890243902439;0.5179818181818182;0.3303886925795053;0.3141573033707865;0.3225090909090909;0.4678798586572438;0.5700374531835206;0.5174727272727273;0.5578798586572438;0.44767790262172286;0.5043818181818182;0.36355957767722474;0.31917620137299774;0.34592727272727275;0.47776772247360483;0.5819221967963387;0.5191454545454546;0.5867873303167421;0.4414187643020595;0.5290363636363636;0.432015503875969;0.33355828220858896;0.40283636363636366;0.5298708010335917;0.6323926380368098;0.5602545454545454;0.6545994832041344;0.4738036809815951;0.6010181818181818;0.609009009009009;0.4093396226415094;0.5705272727272728;0.6862612612612613;0.7723584905660378;0.7028545454545455;0.8038063063063063;0.605754716981132;0.7656363636363637;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;440
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.49776785714285715;0.775958904109589;0.7193090909090909;0.8121428571428572;0.9447945205479452;0.9177818181818181;0.9274107142857143;0.8683789954337899;0.8804;0.43555555555555553;0.5615645371577574;0.5234181818181818;0.6236036036036036;0.8009126466753586;0.7472363636363636;0.7838438438438439;0.6820338983050848;0.7128545454545454;0.39603603603603604;0.4684756097560976;0.43923636363636365;0.5573423423423424;0.7111890243902439;0.649090909090909;0.7274324324324324;0.6128048780487805;0.6590727272727273;0.41664310954063605;0.41719101123595503;0.4169090909090909;0.6008833922261484;0.7158052434456929;0.6566727272727273;0.7025795053003534;0.5952434456928839;0.6504727272727273;0.4698340874811463;0.40585812356979406;0.4444181818181818;0.6174057315233786;0.7294736842105263;0.6619272727272727;0.7188838612368024;0.559908466819222;0.6557272727272727;0.5712919896640827;0.43883435582822083;0.5320363636363636;0.6877519379844961;0.7870552147239264;0.7171818181818181;0.8062790697674419;0.6243558282208589;0.7523636363636363;0.8144144144144144;0.505188679245283;0.7548181818181818;0.9076351351351352;0.9493396226415094;0.9156727272727273;0.9627702702702703;0.8588679245283019;0.9427454545454546;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;550
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5348348348348348;0.726232073011734;0.668290909090909;0.8343543543543543;0.9327249022164277;0.9029454545454545;0.9335735735735736;0.8814863102998696;0.8972545454545454;0.4973873873873874;0.5920121951219512;0.5538181818181818;0.7547297297297297;0.8621646341463415;0.8188;0.8651801801801802;0.7669207317073171;0.8065818181818182;0.5329681978798586;0.5184644194756555;0.5259272727272727;0.7473498233215548;0.8493258426966293;0.7968545454545455;0.852226148409894;0.751498127340824;0.8033272727272728;0.5910105580693816;0.5099771167048055;0.5588181818181818;0.7728506787330317;0.8679633867276888;0.8106363636363636;0.8617496229260935;0.7519450800915332;0.8181272727272727;0.7347286821705427;0.5311042944785276;0.6743818181818182;0.8933074935400517;0.9436809815950921;0.9082363636363636;0.9429715762273901;0.8539263803680982;0.9165818181818182;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;660
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7353153153153154;0.8167682926829268;0.7838909090909091;0.9705855855855856;0.9895731707317074;0.981909090909091;0.9874774774774775;0.9708536585365853;0.9775636363636364;0.6962897526501767;0.6766292134831461;0.6867454545454545;0.9293992932862191;0.971498127340824;0.9498363636363636;0.9708833922261484;0.9293632958801498;0.9507272727272728;0.8130618401206636;0.7317620137299771;0.7807636363636363;0.9677526395173454;0.9850800915331808;0.9746363636363636;0.98947209653092;0.9706636155606407;0.982;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;770
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;880
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;990
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1100
