pos0.0_total;neg0.0_total;tot0.0_total;pos0.0_positive;neg0.0_positive;tot0.0_positive;pos0.0_negative;neg0.0_negative;tot0.0_negative;pos0.1_total;neg0.1_total;tot0.1_total;pos0.1_positive;neg0.1_positive;tot0.1_positive;pos0.1_negative;neg0.1_negative;tot0.1_negative;pos0.2_total;neg0.2_total;tot0.2_total;pos0.2_positive;neg0.2_positive;tot0.2_positive;pos0.2_negative;neg0.2_negative;tot0.2_negative;pos0.3_total;neg0.3_total;tot0.3_total;pos0.3_positive;neg0.3_positive;tot0.3_positive;pos0.3_negative;neg0.3_negative;tot0.3_negative;pos0.4_total;neg0.4_total;tot0.4_total;pos0.4_positive;neg0.4_positive;tot0.4_positive;pos0.4_negative;neg0.4_negative;tot0.4_negative;pos0.5_total;neg0.5_total;tot0.5_total;pos0.5_positive;neg0.5_positive;tot0.5_positive;pos0.5_negative;neg0.5_negative;tot0.5_negative;pos0.6_total;neg0.6_total;tot0.6_total;pos0.6_positive;neg0.6_positive;tot0.6_positive;pos0.6_negative;neg0.6_negative;tot0.6_negative;query_budget
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.118698224852071;0.19750563486100675;0.18862666666666666;0.17242603550295857;0.2877685950413223;0.2747733333333333;0.2531360946745562;0.2114800901577761;0.21617333333333333;0.0975609756097561;0.12418088737201365;0.11836;0.12012195121951219;0.1885494880546075;0.17358666666666667;0.1721951219512195;0.13921501706484643;0.14642666666666668;0.08108695652173913;0.10303846153846154;0.09630666666666667;0.09565217391304348;0.15396153846153846;0.13608;0.14604347826086955;0.12136538461538461;0.12893333333333334;0.06315091210613599;0.0837458193979933;0.07546666666666667;0.09923714759535655;0.1395540691192865;0.12334666666666666;0.13459369817578773;0.10169453734671126;0.11492;0.0651783355350066;0.05970390309555855;0.06246666666666666;0.09400264200792602;0.13235531628532973;0.113;0.12919418758256274;0.09569313593539704;0.1126;0.08190055248618784;0.05983193277310924;0.07314666666666667;0.103646408839779;0.13616806722689076;0.11654666666666667;0.13772375690607735;0.09926050420168067;0.12246666666666667;150
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.23301775147928994;0.41131480090157774;0.39122666666666667;0.3602366863905325;0.5707438016528925;0.5470266666666667;0.5061538461538462;0.43379413974455294;0.44194666666666665;0.2048170731707317;0.26071672354948805;0.24849333333333334;0.24951219512195122;0.37624573378839593;0.3485333333333333;0.3520121951219512;0.2877986348122867;0.30184;0.18582608695652175;0.21175;0.2038;0.20517391304347826;0.3135192307692308;0.28029333333333334;0.3075217391304348;0.2514230769230769;0.2686266666666667;0.13111111111111112;0.17328874024526197;0.15633333333333332;0.20729684908789386;0.28940914158305464;0.2564;0.2838474295190713;0.21933110367892977;0.24526666666666666;0.14073976221928666;0.14032301480484521;0.14053333333333334;0.2135006605019815;0.2809690444145357;0.24692;0.27394980184940554;0.19997308209959624;0.23730666666666667;0.17244198895027624;0.1317983193277311;0.15632;0.21626519337016575;0.28161344537815125;0.24218666666666666;0.2887292817679558;0.20615126050420168;0.25597333333333333;300
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.3411834319526627;0.6461157024793388;0.61176;0.5947928994082841;0.8290007513148009;0.8026133333333333;0.7687573964497041;0.6818632607062359;0.6916533333333333;0.2966463414634146;0.39349829351535837;0.37232;0.3796341463414634;0.5698805460750853;0.52828;0.5324390243902439;0.44303754266211604;0.46258666666666665;0.27743478260869564;0.3244423076923077;0.3100266666666667;0.3166086956521739;0.473;0.42504;0.4579130434782609;0.38846153846153847;0.40976;0.19737976782752903;0.2700780379041249;0.24085333333333334;0.31469320066334994;0.4281605351170569;0.38254666666666665;0.42338308457711443;0.32894091415830545;0.36690666666666666;0.22602377807133422;0.220349932705249;0.22321333333333335;0.32842800528401583;0.4153970390309556;0.37150666666666665;0.4161690885072655;0.3199461641991925;0.36850666666666665;0.2718674033149171;0.19788235294117648;0.24252;0.3293038674033149;0.418890756302521;0.36484;0.43553591160220995;0.3203697478991597;0.38985333333333333;450
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.8301775147928994;0.9807963936889557;0.9638266666666667;0.9844970414201183;0.9977310293012772;0.99624;0.9943195266272189;0.9907137490608565;0.99112;0.4001219512195122;0.541160409556314;0.51032;0.525670731707317;0.7478156996587031;0.69924;0.7082317073170732;0.6051535836177474;0.6276933333333333;0.37634782608695655;0.4373653846153846;0.4186533333333333;0.4638260869565217;0.6356346153846154;0.5829466666666666;0.6172608695652174;0.5219038461538461;0.5511466666666667;0.28676616915422887;0.38479375696767;0.3453866666666667;0.424212271973466;0.5701226309921962;0.5114666666666666;0.5611276948590381;0.4453065774804905;0.4918666666666667;0.31941875825627475;0.3135935397039031;0.31653333333333333;0.44264200792602376;0.5615612382234185;0.5015466666666667;0.5603170409511229;0.43997308209959624;0.5007066666666666;0.3841767955801105;0.28581512605042014;0.34516;0.4510718232044199;0.5676302521008403;0.4973066666666667;0.5772154696132596;0.43031932773109244;0.5189466666666667;600
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4720121951219512;0.7259044368600682;0.6703866666666667;0.7421951219512195;0.8968430034129693;0.8630266666666667;0.8759146341463414;0.8043686006825939;0.8200133333333334;0.4637391304347826;0.5635192307692307;0.53292;0.6214782608695653;0.7844230769230769;0.7344533333333333;0.7669565217391304;0.6651730769230769;0.6963866666666667;0.4059369817578773;0.5031215161649945;0.4640533333333333;0.5512106135986733;0.712196209587514;0.64748;0.7033499170812604;0.5786845039018952;0.6288;0.4397093791281374;0.42358008075370124;0.43172;0.5656538969616909;0.6980080753701211;0.6312133333333333;0.6992073976221929;0.5646567967698519;0.63256;0.5017016574585635;0.40897478991596636;0.46492;0.5799558011049724;0.7039327731092437;0.6291333333333333;0.7157790055248618;0.5579159663865546;0.65316;750
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9903048780487805;0.9978156996587031;0.9961733333333334;0.9990853658536586;0.9998464163822526;0.99968;1.0;1.0;1.0;0.5505652173913044;0.7084807692307692;0.6600533333333334;0.7889565217391304;0.9165961538461539;0.8774533333333333;0.9134782608695652;0.8385576923076923;0.8615333333333334;0.52530679933665;0.6171014492753624;0.5802;0.7088557213930349;0.8440133779264214;0.78968;0.8406301824212272;0.7474916387959866;0.7849333333333334;0.5510171730515192;0.5422611036339166;0.54668;0.7030118890356671;0.831628532974428;0.76672;0.8324174372523118;0.7071870794078062;0.7703866666666667;0.6210165745856353;0.5379495798319328;0.5880666666666666;0.7582762430939226;0.846218487394958;0.79316;0.8483093922651934;0.7122689075630252;0.7943466666666666;900
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6482255389718077;0.7499219620958751;0.70904;0.9215257048092869;0.9727759197324415;0.9521733333333333;0.9731011608623549;0.9377257525083612;0.9519466666666667;0.6795508586525759;0.6698519515477793;0.6747466666666667;0.8877675033025099;0.9469986541049799;0.9171066666666666;0.9509114927344782;0.8923014804845222;0.92188;0.7572596685082873;0.6375798319327731;0.7097866666666667;0.9365303867403315;0.9735126050420168;0.9512;0.9761988950276244;0.9282689075630252;0.9571866666666666;1050
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1200
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1350
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1500
