pos0.0_total;neg0.0_total;tot0.0_total;pos0.0_positive;neg0.0_positive;tot0.0_positive;pos0.0_negative;neg0.0_negative;tot0.0_negative;pos0.1_total;neg0.1_total;tot0.1_total;pos0.1_positive;neg0.1_positive;tot0.1_positive;pos0.1_negative;neg0.1_negative;tot0.1_negative;pos0.2_total;neg0.2_total;tot0.2_total;pos0.2_positive;neg0.2_positive;tot0.2_positive;pos0.2_negative;neg0.2_negative;tot0.2_negative;pos0.3_total;neg0.3_total;tot0.3_total;pos0.3_positive;neg0.3_positive;tot0.3_positive;pos0.3_negative;neg0.3_negative;tot0.3_negative;pos0.4_total;neg0.4_total;tot0.4_total;pos0.4_positive;neg0.4_positive;tot0.4_positive;pos0.4_negative;neg0.4_negative;tot0.4_negative;pos0.5_total;neg0.5_total;tot0.5_total;pos0.5_positive;neg0.5_positive;tot0.5_positive;pos0.5_negative;neg0.5_negative;tot0.5_negative;pos0.6_total;neg0.6_total;tot0.6_total;pos0.6_positive;neg0.6_positive;tot0.6_positive;pos0.6_negative;neg0.6_negative;tot0.6_negative;pos0.7_total;neg0.7_total;tot0.7_total;pos0.7_positive;neg0.7_positive;tot0.7_positive;pos0.7_negative;neg0.7_negative;tot0.7_negative;pos0.8_total;neg0.8_total;tot0.8_total;pos0.8_positive;neg0.8_positive;tot0.8_positive;pos0.8_negative;neg0.8_negative;tot0.8_negative;query_budget
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.12555555555555556;0.21013035381750467;0.20125;0.1819047619047619;0.30415270018621976;0.29131666666666667;0.26095238095238094;0.21778398510242086;0.22231666666666666;0.09550200803212851;0.12475289169295478;0.11868333333333334;0.11831325301204819;0.19535226077812828;0.17936666666666667;0.17357429718875503;0.1414931650893796;0.14815;0.07592493297587131;0.09796856106408706;0.09111666666666667;0.10316353887399464;0.15371221281741235;0.138;0.14568364611260054;0.11685610640870617;0.12581666666666666;0.0629795918367347;0.08552112676056338;0.07631666666666667;0.0936326530612245;0.13569014084507042;0.11851666666666667;0.1343265306122449;0.10416901408450704;0.11648333333333333;0.06811881188118812;0.06063973063973064;0.06441666666666666;0.09679867986798679;0.12905723905723906;0.11276666666666667;0.12693069306930693;0.09653198653198654;0.11188333333333333;0.08646575342465754;0.06846808510638298;0.07941666666666666;0.10805479452054795;0.1354468085106383;0.11878333333333334;0.13813698630136986;0.09625531914893617;0.12173333333333333;0.10068883610451307;0.08251396648044693;0.09526666666666667;0.12073634204275535;0.14927374301675977;0.12925;0.16033254156769597;0.10541899441340782;0.14395;0.14235173824130878;0.09945945945945946;0.13441666666666666;0.15658486707566463;0.18792792792792792;0.16238333333333332;0.20995910020449898;0.1254954954954955;0.19433333333333333;120
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.24857142857142858;0.44869646182495343;0.42768333333333336;0.3961904761904762;0.5998324022346369;0.57845;0.5257142857142857;0.4768715083798883;0.482;0.19606425702811245;0.26662460567823343;0.25198333333333334;0.2616867469879518;0.38382754994742374;0.3584833333333333;0.36481927710843376;0.30412197686645637;0.31671666666666665;0.17603217158176943;0.20384522370012093;0.1952;0.21924932975871314;0.3214752116082225;0.2897;0.3096514745308311;0.2511970979443773;0.26936666666666664;0.148;0.17647887323943662;0.16485;0.20681632653061224;0.28656338028169015;0.254;0.2846530612244898;0.22374647887323942;0.24861666666666668;0.14079207920792078;0.14582491582491583;0.14328333333333335;0.21151815181518152;0.2792255892255892;0.24503333333333333;0.27894389438943895;0.20602693602693603;0.24285;0.1776164383561644;0.158;0.16993333333333333;0.2301917808219178;0.28948936170212763;0.2534166666666667;0.28964383561643836;0.206;0.25688333333333335;0.20945368171021378;0.17804469273743018;0.20008333333333334;0.25356294536817103;0.31374301675977656;0.2715166666666667;0.32529691211401424;0.22106145251396647;0.2942;0.2950715746421268;0.20972972972972972;0.27928333333333333;0.3365848670756646;0.39063063063063064;0.34658333333333335;0.41388548057259716;0.269009009009009;0.38708333333333333;240
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.36793650793650795;0.6914525139664804;0.6574833333333333;0.6436507936507937;0.8613221601489758;0.8384666666666667;0.7987301587301587;0.7275791433891993;0.73505;0.29582329317269074;0.4234279705573081;0.39695;0.4093975903614458;0.583701366982124;0.5475333333333333;0.5473092369477912;0.47430073606729756;0.48945;0.25957104557640753;0.31414752116082223;0.29718333333333335;0.3284182305630027;0.4686577992744861;0.42506666666666665;0.4628418230563003;0.385223700120919;0.40935;0.23542857142857143;0.2639718309859155;0.2523166666666667;0.31820408163265307;0.4268450704225352;0.38248333333333334;0.4301632653061224;0.3449014084507042;0.37971666666666665;0.2322772277227723;0.23212121212121212;0.2322;0.33722772277227725;0.41505050505050506;0.37575;0.4149174917491749;0.3293265993265993;0.37255;0.2777534246575342;0.23740425531914894;0.26195;0.3512876712328767;0.43472340425531913;0.3839666666666667;0.4371506849315068;0.32293617021276594;0.3924166666666667;0.3226128266033254;0.2663128491620112;0.3058166666666667;0.3891686460807601;0.4670391061452514;0.4124;0.4823515439429929;0.3346927374301676;0.4383;0.45339468302658487;0.30423423423423424;0.4258;0.5015746421267894;0.5841441441441442;0.51685;0.6196319018404908;0.4292792792792793;0.5844166666666667;360
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.38714859437751004;0.5764458464773922;0.5371666666666667;0.5668273092369478;0.7664773922187171;0.72505;0.7363052208835341;0.6527444794952681;0.6700833333333334;0.3572117962466488;0.4263119709794438;0.4048333333333333;0.4587667560321716;0.6287303506650544;0.5759;0.6163002680965147;0.516807738814994;0.5477333333333333;0.3179183673469388;0.36307042253521127;0.34463333333333335;0.43351020408163266;0.567943661971831;0.51305;0.5720408163265306;0.4687323943661972;0.5109166666666667;0.3322772277227723;0.3246801346801347;0.3285166666666667;0.4573927392739274;0.5672727272727273;0.5117833333333334;0.5673267326732673;0.45326599326599326;0.5108666666666667;0.37594520547945204;0.31774468085106383;0.35315;0.47465753424657536;0.5740851063829787;0.5136;0.5862191780821918;0.43957446808510636;0.5287833333333334;0.4305938242280285;0.35960893854748605;0.40941666666666665;0.5237767220902613;0.6285474860335195;0.5550333333333334;0.6477197149643705;0.4676536312849162;0.594;0.6226175869120655;0.4010810810810811;0.5816333333333333;0.6923108384458078;0.7796396396396397;0.7084666666666667;0.811799591002045;0.6146846846846847;0.7753333333333333;480
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.4814457831325301;0.763491062039958;0.7049666666666666;0.7795983935742972;0.925446898002103;0.8951833333333333;0.9126907630522089;0.8488328075709779;0.8620833333333333;0.4393029490616622;0.548851269649335;0.5148;0.6139946380697051;0.7871100362756953;0.7333;0.7736193029490617;0.6642563482466747;0.69825;0.4009795918367347;0.4716338028169014;0.4427833333333333;0.5599591836734694;0.7115492957746479;0.64965;0.7173469387755103;0.6044225352112677;0.6505333333333333;0.4322772277227723;0.4224242424242424;0.4274;0.5884488448844885;0.70993265993266;0.6485833333333333;0.7091419141914191;0.5856902356902357;0.6480333333333334;0.48819178082191783;0.3974468085106383;0.45265;0.6079452054794521;0.7219148936170213;0.6525833333333333;0.7179726027397261;0.5661702127659575;0.6585166666666666;0.56812351543943;0.4475977653631285;0.5321666666666667;0.6733729216152019;0.7775977653631285;0.7044666666666667;0.8032066508313539;0.6312290502793296;0.7519;0.8397341513292433;0.5052252252252252;0.77785;0.923680981595092;0.9579279279279279;0.9300166666666667;0.9684049079754601;0.8801801801801802;0.9520833333333333;600
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5366756032171581;0.7103022974607013;0.6563333333333333;0.8028418230563003;0.9157920193470375;0.8806833333333334;0.913941018766756;0.8448851269649335;0.86635;0.5143265306122449;0.589887323943662;0.5590333333333334;0.7350204081632653;0.8505352112676057;0.8033666666666667;0.8559183673469388;0.757774647887324;0.79785;0.5402970297029703;0.5385185185185185;0.5394166666666667;0.7318151815181518;0.841986531986532;0.78635;0.838019801980198;0.7274074074074074;0.7832666666666667;0.6003287671232876;0.526127659574468;0.5712666666666667;0.7748767123287671;0.8688936170212765;0.8117;0.8541095890410959;0.732468085106383;0.8064666666666667;0.7338004750593824;0.5368715083798883;0.67505;0.8726128266033254;0.9302234636871508;0.8898;0.9311163895486936;0.8254748603351956;0.8996;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;720
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9902949061662198;0.9966626360338573;0.9946833333333334;1.0;1.0;1.0;1.0;1.0;1.0;0.6472244897959184;0.7503661971830986;0.70825;0.9483673469387756;0.9813239436619718;0.9678666666666667;0.979265306122449;0.9495492957746479;0.9616833333333333;0.6622442244224422;0.6577777777777778;0.6600333333333334;0.906072607260726;0.9597306397306398;0.9326333333333333;0.9633993399339934;0.914074074074074;0.9389833333333333;0.8184931506849316;0.7248936170212766;0.7818333333333334;0.9678082191780822;0.9865531914893617;0.97515;0.9871506849315068;0.9624255319148937;0.9774666666666667;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;840
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;960
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1080
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1200
