num_queries_total;num_queries_positive;num_queries_negative;max_V_match_fraction
1;1;1;0.0
5144.22;5128.52;5130.64;0.1
7629.08;7638.38;7628.1;0.2
9137.26;9143.8;9139.7;0.3
9992.38;9979.38;9975.8;0.4
10262.1;10281.76;10260.48;0.5
9982.5;9990.5;9975.84;0.6
9162.32;9152.4;9147.34;0.7
7606.32;7617.42;7632.52;0.8
5108.06;5101.8;5110.38;0.9
1;1;1;1.0
