queries_total;queries_positive;queries_negative;len_T
330.52;331.46;329.82;500
401.14;401.76;398.76;600
541.66;539.64;541.04;800
602.98;604.02;607.14;900
657.74;654.4;651.1;1000
715.84;715.76;713.12;1100
793.92;798.2;794.14;1200
856.24;858.5;859.52;1300
934.76;929.12;931.32;1400
1005.26;1004.76;1000.9;1500
