timetotal;timepositive;timenegative;max_V_match_fraction
438500007.04;435033926.36;440377631.74;0.0
79355998623.18;78958753926.6;78664160613.62;0.1
116708093016.38;116219010766.38;99266322444.36;0.2
141576294511.96;140047516675.06;100668362837.76;0.3
154172462138.2;152934331275.12;139132910956.6;0.4
157969640511.06;155076009155.34;144262801294.66;0.5
154354307163.16;150817635159.86;134623855138.16;0.6
139251420683.48;137724904026.38;96515989688.64;0.7
114536724934.7;113234492551.42;99260216696.34;0.8
77992721088.16;77487573895.78;76970691367.1;0.9
456655102.24;457320272.74;462219901.42;1.0
