queries_positive;queries_negative;queries_total;len_T
3574.95;3579.97;3584.34;5000
4345.53;4351.78;4340.55;6000
4990.3;4987.34;4992.12;7000
5615.05;5609.25;5612.6;8000
6364.94;6363.56;6369.74;9000
7165.45;7162.65;7172.05;10000
7934.09;7928.22;7932.51;11000
8688.24;8693.6;8680.72;12000
9355.08;9355.92;9351.18;13000
9977.78;9978.03;9961.78;14000
10602.76;10595.04;10596.6;15000
