queries_positive;queries_negative;queries_total;len_T
2734.4;2730.71;2728.3;5000
3301.24;3303.42;3301.88;6000
3811.37;3799.39;3809;7000
4283.56;4291.95;4292.81;8000
4864.04;4861.24;4864.93;9000
5465.38;5460.73;5458.97;10000
6035.69;6039.46;6036.74;11000
6604.09;6605.34;6597.82;12000
7113.45;7110.24;7121.59;13000
7618.78;7611.45;7615.09;14000
8095.04;8095.39;8098.18;15000
