queries_positive;queries_negative;queries_total;len_T
3282.04;3282.48;3286.07;5000
3975.02;3968.69;3969.34;6000
4564.34;4567.43;4566.99;7000
5141.52;5133.17;5138.1;8000
5832.84;5830.52;5830.64;9000
6559.44;6556.74;6561.96;10000
7258.07;7263.38;7263.56;11000
7964.69;7927.01;7945.52;12000
8553.67;8554.43;8552.56;13000
9130.09;9134.44;9140.97;14000
