PSU;len_T
1018194702.94;500000
1152903353.2;600000
1392594236.48;700000
1531579032.76;800000
1884642452.4;900000
1998283991.14;1000000
2268517171.12;1100000
2414381414.82;1200000
2771770294.88;1300000
2759874430.5;1400000
2885784837.42;1500000
