num_queries_total;num_queries_positive;num_queries_negative;max_V_match_fraction
3;3;3;0.0
252.38;252.46;254.04;0.1
337.5;336.86;337.48;0.2
401.14;401.76;398.76;0.3
428.4;432.58;432.14;0.4
440;443.06;440.9;0.5
425.16;424.98;426.08;0.6
388.22;391.38;389.54;0.7
308.08;308.88;309.68;0.8
202.8;200.92;202.1;0.9
3;3;3;1.0
