time_total;time_positive;time_negative;max_V_match_fraction
1009877;1010658.48;1013110.5;0.0
32681046.88;55630984.76;31810477.52;0.1
51716107.04;76174576.66;51906958.86;0.2
63900982.48;86128209.88;67189892;0.3
71644599.48;87810666.44;78557532.44;0.4
74047626.54;84443487.18;85603601.64;0.5
70192853.5;76118789.78;88690645.78;0.6
63460426.08;65366705.2;85754452.46;0.7
47710798.14;47632847.2;72062041.2;0.8
