time_total;time_positive;time_negative;max_V_match_fraction
845430.16;837006.74;837539.64;0.0
26198529.98;44990237.4;25175736.74;0.1
41596041.78;60331585.04;41410732.14;0.2
52980678.06;67887504.76;54022374.5;0.3
58130786.12;69905156;61447129.66;0.4
60156387.28;65771543.4;67900287.1;0.5
57979697.82;60771916.62;70511255.18;0.6
51338219.52;52261774.98;68268300.18;0.7
40160692.24;39561219;60027475.02;0.8
23902716.92;22974470.84;42021884.12;0.9
820087.86;815381.16;822567.96;1.0
