PSU;len_T
507955991.99;500000
551679900.75;600000
648751641.46;700000
661805914.41;800000
709635045.83;900000
777767657.15;1000000
790511251.21;1100000
832479447.9;1200000
952565906.01;1300000
967346851.5;1400000
1017428787.28;1500000
