PSU;len_T
166895877.34;500000
274730578.56;600000
239661207.51;700000
380077725.26;800000
342670083.04;900000
279794115.1;1000000
344457749.74;1100000
361627403.21;1200000
312297017.22;1300000
369308348.64;1400000
390666099.32;1500000
