pos0.0_positive;neg0.0_positive;tot0.0_positive;pos0.0_negative;neg0.0_negative;tot0.0_negative;pos0.0_total;neg0.0_total;tot0.0_total;pos0.1_positive;neg0.1_positive;tot0.1_positive;pos0.1_negative;neg0.1_negative;tot0.1_negative;pos0.1_total;neg0.1_total;tot0.1_total;pos0.2_positive;neg0.2_positive;tot0.2_positive;pos0.2_negative;neg0.2_negative;tot0.2_negative;pos0.2_total;neg0.2_total;tot0.2_total;pos0.3_positive;neg0.3_positive;tot0.3_positive;pos0.3_negative;neg0.3_negative;tot0.3_negative;pos0.3_total;neg0.3_total;tot0.3_total;pos0.4_positive;neg0.4_positive;tot0.4_positive;pos0.4_negative;neg0.4_negative;tot0.4_negative;pos0.4_total;neg0.4_total;tot0.4_total;pos0.5_positive;neg0.5_positive;tot0.5_positive;pos0.5_negative;neg0.5_negative;tot0.5_negative;pos0.5_total;neg0.5_total;tot0.5_total;pos0.6_positive;neg0.6_positive;tot0.6_positive;pos0.6_negative;neg0.6_negative;tot0.6_negative;pos0.6_total;neg0.6_total;tot0.6_total;pos0.7_positive;neg0.7_positive;tot0.7_positive;pos0.7_negative;neg0.7_negative;tot0.7_negative;pos0.7_total;neg0.7_total;tot0.7_total;pos0.8_positive;neg0.8_positive;tot0.8_positive;pos0.8_negative;neg0.8_negative;tot0.8_negative;pos0.8_total;neg0.8_total;tot0.8_total;pos0.9_positive;neg0.9_positive;tot0.9_positive;pos0.9_negative;neg0.9_negative;tot0.9_negative;pos0.9_total;neg0.9_total;tot0.9_total;query_budget
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.20307272727272727;0.3223111111111111;0.31038727272727273;0.2791;0.22785959595959596;0.23298363636363636;0.12985454545454544;0.2166131313131313;0.20793727272727272;0.13163636363636363;0.20609431818181817;0.19120272727272727;0.18781818181818183;0.1482193181818182;0.15613909090909092;0.10250454545454546;0.13249318181818182;0.12649545454545455;0.10686666666666667;0.164387012987013;0.1471309090909091;0.1587181818181818;0.12503636363636364;0.1351409090909091;0.09498484848484849;0.1046012987012987;0.10171636363636363;0.10271136363636364;0.14642272727272726;0.1289381818181818;0.14389772727272726;0.10830454545454546;0.12254181818181818;0.07144318181818182;0.08713636363636364;0.08085909090909091;0.09964181818181818;0.1383690909090909;0.11900545454545454;0.1386018181818182;0.10009272727272728;0.11934727272727273;0.06591272727272728;0.06442727272727272;0.06517;0.1081;0.14459318181818182;0.12269727272727272;0.14673939393939395;0.10276363636363636;0.1291490909090909;0.08695303030303031;0.07024772727272727;0.08027090909090909;0.12498895960514353;0.1590487730990609;0.13521;0.1640485777373685;0.10621326870645259;0.14669272727272728;0.10458760878036108;0.09453498939715238;0.10157090909090909;0.14762613636363636;0.1867681818181818;0.15545454545454546;0.2049625;0.13175;0.19032;0.13372159090909091;0.10265909090909091;0.1275090909090909;0.22732929292929294;0.2787818181818182;0.23247454545454546;0.3200363636363636;0.20335454545454545;0.3083681818181818;0.21616161616161617;0.1277818181818182;0.20732363636363638;1100
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.41404545454545455;0.6310666666666667;0.6093645454545454;0.5587272727272727;0.46840808080808083;0.47744;0.25695454545454544;0.44622222222222224;0.42729545454545453;0.2731727272727273;0.4082022727272727;0.3811963636363636;0.37572727272727274;0.3075045454545455;0.3211490909090909;0.20398181818181818;0.27555795454545456;0.2612427272727273;0.21653030303030302;0.326912987012987;0.2937981818181818;0.31643333333333334;0.25683116883116885;0.27471181818181817;0.19107878787878788;0.2132961038961039;0.2066309090909091;0.21451136363636364;0.29499848484848484;0.26280363636363635;0.28993863636363637;0.22580151515151514;0.25145636363636364;0.1512068181818182;0.1779909090909091;0.16727727272727272;0.21981090909090908;0.2852363636363636;0.25252363636363634;0.2847509090909091;0.21963272727272729;0.2521918181818182;0.14489818181818181;0.14433454545454547;0.14461636363636363;0.22601060606060605;0.2908159090909091;0.25193272727272725;0.2935348484848485;0.21374772727272728;0.26162;0.17650151515151516;0.15134772727272727;0.16644;0.25637095726717757;0.31599515298394426;0.2742636363636364;0.3269502532796467;0.21657679491063314;0.2938281818181818;0.21444213534225223;0.19093607997576492;0.2073881818181818;0.3086920454545454;0.37624545454545455;0.32220272727272725;0.4071147727272727;0.27289545454545455;0.3802709090909091;0.2761272727272727;0.20430454545454546;0.26176272727272726;0.46773939393939395;0.5576181818181818;0.4767272727272727;0.6328949494949495;0.4138727272727273;0.6109927272727272;0.4447939393939394;0.2555636363636364;0.4258709090909091;2200
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.6743545454545454;0.8880353535353536;0.8666672727272727;0.8310545454545455;0.7553919191919192;0.7629581818181819;0.37267272727272727;0.7224070707070707;0.6874336363636364;0.4184227272727273;0.6060670454545455;0.5685381818181818;0.5641;0.47059545454545454;0.48929636363636364;0.30445;0.4226056818181818;0.39897454545454547;0.32855151515151515;0.4870025974025974;0.4394672727272727;0.4757818181818182;0.3873077922077922;0.41385;0.2849848484848485;0.3237246753246753;0.31210272727272725;0.32530227272727275;0.44002878787878785;0.39413818181818183;0.4349977272727273;0.3420969696969697;0.3792572727272727;0.22887727272727273;0.2712;0.2542709090909091;0.3328563636363636;0.42780545454545454;0.3803309090909091;0.4273781818181818;0.3320181818181818;0.3796981818181818;0.22589818181818183;0.22818181818181818;0.22704;0.34214848484848487;0.43368409090909094;0.37876272727272725;0.4399590909090909;0.3243840909090909;0.3937290909090909;0.2728181818181818;0.22891818181818183;0.25525818181818183;0.38658397194440836;0.47526507119054834;0.41319636363636364;0.4859981815820236;0.3282368979097243;0.43865545454545457;0.3218275100662424;0.28805210542259924;0.3116918181818182;0.47196818181818184;0.5655909090909091;0.4906927272727273;0.6062829545454546;0.41870454545454544;0.5687672727272727;0.42204318181818185;0.30560454545454546;0.3987554545454545;0.7555515151515152;0.8305;0.7630463636363637;0.8877101010101011;0.6737;0.8663090909090909;0.7218737373737374;0.3709;0.6867763636363636;3300
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5746272727272728;0.7877090909090909;0.7450927272727272;0.746959090909091;0.6543579545454545;0.6728781818181818;0.3976409090909091;0.5896215909090909;0.5512254545454546;0.45628484848484846;0.6382623376623376;0.5836690909090909;0.631130303030303;0.5235077922077922;0.5557945454545454;0.3765121212121212;0.4378922077922078;0.4194781818181818;0.4391409090909091;0.583839393939394;0.52596;0.5766636363636364;0.46294242424242427;0.508430909090909;0.3060681818181818;0.3793166666666667;0.35001727272727273;0.45179454545454545;0.5706563636363636;0.5112254545454545;0.5711145454545454;0.45114545454545457;0.51113;0.3273381818181818;0.3272090909090909;0.3272736363636364;0.4634015151515152;0.5763454545454545;0.5085790909090909;0.5841409090909091;0.43930454545454545;0.5262063636363636;0.3805590909090909;0.30721363636363636;0.3512209090909091;0.5242849720742954;0.6311572250833081;0.5563563636363636;0.6382504221327445;0.4570433202059982;0.5838718181818182;0.43908169892193794;0.37593759466828236;0.42013272727272727;0.6543545454545454;0.7465818181818182;0.6728;0.7880840909090909;0.5749590909090909;0.7454590909090909;0.5915443181818182;0.3976772727272727;0.5527709090909091;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4400
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8097954545454545;0.9388113636363636;0.9130081818181818;0.9258090909090909;0.8628477272727273;0.87544;0.4773681818181818;0.7827738636363636;0.7216927272727273;0.6270151515151515;0.7941090909090909;0.7439809090909091;0.7821666666666667;0.6760025974025974;0.7078518181818182;0.4606030303030303;0.5697363636363636;0.5369963636363636;0.5605545454545454;0.7188606060606061;0.6555381818181818;0.7126954545454546;0.5926136363636364;0.6406463636363636;0.40787954545454547;0.4949969696969697;0.46015;0.5744854545454545;0.7073018181818181;0.6408936363636364;0.7072090909090909;0.5738763636363636;0.6405427272727273;0.42888727272727273;0.42883818181818184;0.4288627272727273;0.5942909090909091;0.7139204545454545;0.6421427272727273;0.7185166666666667;0.5595727272727272;0.6549390909090909;0.495680303030303;0.40710454545454544;0.46025;0.6753734251201454;0.7809966676764617;0.70707;0.7952201584621379;0.6273765525598304;0.7448518181818182;0.5706585270814392;0.4621629809148743;0.5381;0.8604715909090909;0.9247863636363637;0.8733345454545455;0.939609090909091;0.8121863636363637;0.9141245454545455;0.7796090909090909;0.47847727272727275;0.7193827272727272;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;5500
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8075424242424243;0.9267337662337662;0.8909763636363637;0.9225636363636364;0.852038961038961;0.8731963636363637;0.5424696969696969;0.7261779220779221;0.6710654545454545;0.7168477272727273;0.8495924242424242;0.7964945454545455;0.8479318181818182;0.752080303030303;0.7904209090909091;0.5366181818181818;0.6055348484848485;0.5779681818181818;0.7114163636363636;0.8351418181818182;0.7732790909090909;0.8354854545454545;0.7115509090909091;0.7735181818181818;0.5462690909090909;0.547509090909091;0.5468890909090909;0.7533848484848484;0.8486477272727273;0.79149;0.8486863636363636;0.7158863636363636;0.7955663636363637;0.60775;0.5372795454545455;0.5795618181818182;0.8511248214053774;0.9219872765828537;0.87239;0.9266125470840368;0.8072402302332626;0.89079;0.729150539031043;0.5427567403817025;0.6732154545454545;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;6600
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9356022727272727;0.9791454545454545;0.9617281818181819;0.9787272727272728;0.9423318181818182;0.95689;0.6332363636363636;0.7510742424242425;0.7039390909090909;0.9002018181818182;0.9559236363636363;0.9280627272727273;0.9552090909090909;0.8986836363636364;0.9269463636363636;0.6683509090909091;0.6674581818181818;0.6679045454545455;0.9427909090909091;0.9791136363636364;0.95732;0.9805333333333334;0.9394227272727272;0.9640890909090909;0.7522045454545454;0.6350568181818181;0.7053454545454545;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7700
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;8800
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;9900
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;11000
