queries_total;queries_positive;queries_negative;len_T
1844.82;1839.48;1843.28;5000
2244.42;2245.36;2244.46;6000
2580.54;2576.72;2580.28;7000
2886.1;2891.3;2879.36;8000
3297.8;3294.78;3303.22;9000
3676.92;3677.8;3675.84;10000
4053.32;4058;4056.42;11000
4434.3;4431.74;4436.92;12000
4783.88;4781.94;4781.7;13000
5108.06;5101.8;5110.38;14000
5459.5;5462.86;5449.72;15000
