queries_total;queries_positive;queries_negative;len_T
1837.96;1840.32;1838.14;5000
2228.98;2234.46;2223.56;6000
2567.36;2565.16;2566;7000
2901.42;2898.7;2892.56;8000
3271.48;3274.16;3266.78;9000
3671.56;3680.06;3677.44;10000
4076.06;4070.58;4075.34;11000
4433.02;4423.24;4432.72;12000
4793.26;4808.02;4807.54;13000
5144.22;5128.52;5130.64;14000
5462.34;5473.02;5477.04;15000
