queries_total;queries_positive;queries_negative;len_T
3594.64;3584.02;3585.46;5000
4343.3;4343.32;4346.94;6000
4994.86;4993.52;4994.92;7000
5603.92;5608.14;5613.82;8000
6379.82;6365.14;6384.6;9000
7172.88;7180.42;7172.56;10000
7943.08;7941.72;7924.96;11000
8706.12;8701.54;8703.5;12000
9364.32;9362.3;9346.88;13000
9982.5;9990.5;9975.84;14000
10599.38;10620.3;10615.54;15000
