time_positive;time_negative;time_total;len_T
36011580.73;38122638.62;42276792.23;5000
42776730.1;46591253.3;50911365.63;6000
51386072.22;54361605.95;60405786.73;7000
58681705.25;60766790.01;68332717.88;8000
65384445.85;68732412.01;76818531.48;9000
72391779.92;77035690.88;86124548.43;10000
80163698.14;86940535.94;95282088.59;11000
86967149.48;95951052.04;103848488.98;12000
93957197.04;101166886.25;112100365.73;13000
102597766.27;108138630.73;120729035.05;14000
